Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,1,5,0
1,8,0,0,0,5,-1
1,9,0,0,1,5,-1
1,10,0,0,0,5,-1
1,11,0,0,0,4,-1
0,11,1,1,1,4,-1
2,11,0,0,1,3,-1
3,10,0,0,1,4,-1
1,11,0,0,1,3,-1
0,11,1,1,1,4,-1
2,11,0,0,0,4,-1
3,10,0,0,1,4,-1
1,11,0,0,1,3,-1
3,10,0,1,1,2,-1
0,10,1,1,1,1,-1
0,10,2,0,1,2,-1
0,10,3,1,1,3,-1
2,10,2,0,0,3,-1
1,11,2,1,1,3,-1
3,10,2,1,1,4,-1
2,10,1,1,1,5,-1
2,10,0,1,1,6,-1
3,9,0,1,1,7,-1
3,8,0,0,0,7,-1
1,9,0,1,1,7,-1
3,8,0,0,1,8,-1
1,9,0,1,2,7,-1
1,10,0,1,3,7,-1
0,10,1,1,4,7,-1
2,10,0,1,4,6,-1
1,11,0,0,5,7,-1
0,11,1,0,5,8,-1
3,10,1,0,5,9,-1
0,10,2,0,5,8,-1
1,11,2,0,5,7,-1
0,11,3,0,5,6,-1
3,10,3,1,5,5,-1
2,10,2,1,6,4,-1
2,10,1,1,7,4,-1
1,11,1,1,8,4,-1
2,11,0,1,8,2,-1
0,11,1,1,9,1,-1
0,11,2,1,10,1,-1
0,11,3,1,11,1,-1
0,11,4,1,12,2,-1
3,10,4,1,12,3,-1
3,9,4,1,11,2,-1
0,9,5,1,10,3,-1
0,9,6,1,10,4,-1
0,9,7,1,9,5,-1
0,9,8,1,9,6,-1
0,9,9,1,9,7,-1
0,9,10,1,8,6,-1
1,10,10,1,8,8,-1
1,11,10,1,10,8,-1
0,11,11,1,9,9,-1
0,11,12,1,9,10,-1
0,11,13,1,9,11,-1
3,10,13,1,10,10,-1
3,9,13,1,10,11,-1
0,9,14,1,11,11,-1
3,8,14,1,10,12,-1
2,8,13,1,9,11,-1
3,7,13,1,8,10,-1
0,7,14,1,9,10,999
0,7,14,1,9,10,999
