Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,13,0
1,8,0,0,1,13,-1
1,9,0,0,1,12,-1
1,10,0,1,2,12,-1
3,9,0,1,3,12,-1
3,8,0,0,3,13,-1
3,7,0,0,3,14,-1
1,8,0,0,3,13,-1
0,8,1,0,3,12,-1
3,7,1,0,2,12,-1
3,6,1,0,2,11,-1
1,7,1,0,2,12,-1
2,7,0,0,2,11,-1
0,7,1,0,2,10,-1
1,8,1,0,3,10,-1
2,8,0,0,3,11,-1
0,8,1,0,4,11,-1
2,8,0,0,4,12,-1
1,9,0,1,4,11,-1
1,10,0,1,4,9,-1
0,10,1,0,4,7,-1
1,11,1,0,4,6,-1
0,11,2,0,4,5,-1
1,12,2,0,4,4,-1
0,12,3,0,4,5,-1
1,13,3,0,4,4,-1
0,13,4,0,4,5,-1
1,14,4,0,4,4,-1
0,14,5,0,4,5,-1
0,14,6,0,4,6,-1
2,14,5,0,3,6,-1
0,14,6,0,4,6,-1
3,13,6,0,4,5,-1
1,14,6,0,4,6,-1
2,14,5,0,4,5,-1
0,14,6,0,4,6,-1
0,14,7,1,4,7,-1
0,14,8,0,4,8,-1
0,14,9,0,5,8,-1
0,14,10,1,6,8,-1
0,14,11,1,7,8,-1
0,14,12,1,9,9,-1
3,13,12,1,10,9,-1
3,12,12,1,9,10,-1
2,12,11,1,10,11,-1
2,12,10,1,11,10,-1
0,12,11,1,12,11,-101
0,12,11,1,12,11,-101
