Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-930.7118593749999,0,3,0.06238198280334473,-1004.0
-767.4014465019607,1,11,0.14395785331726074,-1012.0
-697.3438788269304,2,15,0.282973051071167,-1016.0
-908.4440628906249,3,4,0.07247209548950195,-1005.0
-865.5646372854002,4,6,0.18558788299560547,-1007.0
-805.1823237364478,5,9,0.2142188549041748,-1010.0
-953.550625,6,2,0.048506975173950195,-1003.0
-865.5646372854002,7,6,0.08789801597595215,-1007.0
-824.8023833194335,8,8,0.10239386558532715,-1009.0
-930.7118593749999,9,3,0.05110287666320801,-1004.0
-844.9255213532653,10,7,0.21060395240783691,-1008.0
-865.5646372854002,11,6,0.17909502983093262,-1007.0
-865.5646372854002,12,6,0.07945013046264648,-1007.0
-824.8023833194335,13,8,0.17254996299743652,-1009.0
-953.550625,14,2,0.0334630012512207,-1003.0
-908.4440628906249,15,4,0.11531209945678711,-1005.0
-731.4860000809261,16,13,0.20910906791687012,-1014.0
-619.1828606905551,17,20,0.23813080787658691,-1021.0
-786.0527656430365,18,10,0.21184015274047852,-1011.0
-714.198850078903,19,14,0.24525213241577148,-1015.0
-886.7329613183592,20,5,0.07736611366271973,-1006.0
-865.5646372854002,21,6,0.12261700630187988,-1007.0
-953.550625,22,2,0.05731701850891113,-1003.0
-786.0527656430365,23,10,0.1737358570098877,-1011.0
-865.5646372854002,24,6,0.23638010025024414,-1007.0
