Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,1,0,-1
1,7,0,2,0,-1
1,8,0,4,0,-1
1,9,0,6,0,-1
1,10,0,7,0,-1
0,10,1,8,0,-1
0,10,2,9,0,-1
0,10,3,10,0,-1
0,10,4,10,2,-1
0,10,5,10,4,-1
2,10,4,10,3,-1
2,10,3,10,2,-1
2,10,2,10,1,-1
2,10,1,10,0,-1
2,10,0,9,0,-1
3,9,0,8,1,-1
1,10,0,7,1,-1
0,10,1,8,1,-1
0,10,2,8,0,-1
0,10,3,9,0,-1
0,10,4,8,0,-1
0,10,5,7,0,-1
0,10,6,8,0,-1
2,10,5,8,1,-1
0,10,6,8,0,-1
3,9,6,9,0,-1
0,9,7,8,0,-1
0,9,8,9,0,-1
2,9,7,10,0,-1
3,8,7,9,0,-1
2,8,6,10,0,-1
3,7,6,9,0,-1
0,7,7,8,0,-1
1,8,7,7,0,-1
1,9,7,7,1,-1
0,9,8,8,1,-1
0,9,9,8,0,-1
3,8,9,9,0,-1
3,7,9,8,0,-1
3,6,9,9,0,-1
0,6,10,8,0,-1
3,5,10,7,1,999
3,5,10,7,1,999
