Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,12,0
3,6,0,1,13,11,-1
3,5,0,0,13,12,-1
0,5,1,1,13,13,-1
2,5,0,1,13,14,-1
1,6,0,0,14,14,-1
3,5,0,0,14,13,-1
3,4,0,0,14,12,-1
3,3,0,0,14,11,-1
3,2,0,1,13,11,-1
3,1,0,1,12,11,-1
3,0,0,1,11,10,-1
1,1,0,1,10,9,-1
3,0,0,1,9,9,-1
1,1,0,1,9,10,-1
3,0,0,1,8,9,-1
0,0,1,1,10,9,-1
2,0,0,1,9,9,-1
0,0,1,1,8,9,-1
2,0,0,1,8,8,-1
1,1,0,1,9,8,-1
3,0,0,0,10,7,-1
0,0,1,1,9,7,-1
2,0,0,0,10,7,-1
0,0,1,1,9,7,-1
2,0,0,1,8,7,-1
1,1,0,1,7,8,-1
3,0,0,1,7,7,-1
1,1,0,1,8,8,-1
3,0,0,1,7,7,-1
0,0,1,1,8,7,-1
2,0,0,1,6,7,-1
0,0,1,1,5,6,-1
2,0,0,1,4,5,-1
1,1,0,1,4,4,-1
3,0,0,1,3,4,-1
1,1,0,1,3,3,-1
3,0,0,1,2,2,-1
1,1,0,1,2,0,-1
0,1,1,1,1,1,-101
0,1,1,1,1,1,-101
