X,Y
3,1
3,0
3,1
3,2
4,2
4,3
5,3
5,2
5,3
6,3
5,3
6,3
6,2
6,3
7,3
8,3
1,3
0,3
0,4
1,4
2,4
2,5
2,6
1,6
1,5
1,6
9,9
9,10
9,9
8,9
4,8
4,7
3,7
4,7
3,7
2,7
3,7
3,8
3,9
2,9
2,10
2,9
2,8
1,8
9,4
9,5
8,5
9,5
9,4
3,4
8,1
9,6
8,0
