Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,11,0
1,8,0,0,12,12,-1
1,9,0,0,13,12,-1
1,10,0,0,12,12,-1
1,11,0,0,12,11,-1
0,11,1,0,13,11,-1
0,11,2,0,13,12,-1
0,11,3,0,14,12,-1
0,11,4,0,14,13,-1
3,10,4,0,14,12,-1
0,10,5,0,14,13,-1
3,9,5,0,13,13,-1
0,9,6,0,14,13,-1
0,9,7,1,14,14,-1
3,8,7,1,13,13,-1
2,8,6,1,12,13,-1
3,7,6,1,12,12,-1
2,7,5,1,12,10,-1
3,6,5,1,11,10,-1
3,5,5,0,10,10,-1
2,5,4,1,9,9,-1
2,5,3,1,9,8,-1
3,4,3,0,9,9,-1
2,4,2,1,9,8,-1
3,3,2,0,8,8,-1
2,3,1,1,8,7,-1
0,3,2,1,7,6,-1
3,2,2,1,6,5,-1
2,2,1,1,5,4,-1
3,1,1,1,6,4,-1
3,0,1,1,5,3,-1
2,0,0,1,4,4,-1
0,0,1,1,2,4,-1
2,0,0,1,2,3,-1
1,1,0,1,1,2,-1
1,2,0,1,2,3,-1
1,3,0,1,2,2,-1
1,4,0,1,3,1,-1
1,5,0,1,4,1,-1
1,6,0,1,5,1,-1
1,7,0,1,6,1,-1
1,8,0,1,7,1,-1
1,9,0,1,9,1,-1
3,8,0,1,8,0,-101
3,8,0,1,8,0,-101
