Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,11,0
1,8,0,0,12,10,-1
0,8,1,0,11,10,-1
0,8,2,0,12,10,-1
0,8,3,0,12,9,-1
1,9,3,0,13,9,-1
2,9,2,0,13,10,-1
1,10,2,0,12,10,-1
0,10,3,0,13,10,-1
1,11,3,0,13,11,-1
1,12,3,0,13,10,-1
0,12,4,0,13,9,-1
0,12,5,0,13,10,-1
3,11,5,0,12,10,-1
1,12,5,0,13,10,-1
0,12,6,0,14,10,-1
3,11,6,0,14,9,-1
1,12,6,0,14,8,-1
3,11,6,0,14,9,-1
2,11,5,0,14,10,-1
0,11,6,0,13,10,-1
1,12,6,0,13,9,-1
3,11,6,0,14,9,-1
1,12,6,0,14,8,-1
2,12,5,0,13,8,-1
0,12,6,0,12,8,-1
2,12,5,0,12,9,-1
0,12,6,0,12,8,-1
2,12,5,0,12,9,-1
2,12,4,0,12,8,-1
0,12,5,0,12,9,-1
0,12,6,0,11,9,-1
3,11,6,0,11,8,-1
1,12,6,0,10,8,-1
3,11,6,0,9,8,-1
2,11,5,0,9,9,-1
0,11,6,0,10,9,-1
1,12,6,0,11,9,-1
2,12,5,0,11,8,-1
3,11,5,0,12,8,-1
1,12,5,0,13,8,-1
0,12,6,0,14,8,-1
2,12,5,0,14,7,-1
0,12,6,0,14,8,-1
2,12,5,0,13,8,-1
0,12,6,0,12,8,-1
2,12,5,0,13,8,-1
2,12,4,0,12,8,-1
0,12,5,0,13,8,-1
3,11,5,0,13,9,-1
2,11,4,0,13,8,-1
0,11,5,0,12,8,-1
3,10,5,0,12,9,-1
3,9,5,0,11,9,-1
0,9,6,0,12,9,-1
0,9,7,1,11,9,-1
3,8,7,1,9,9,-1
2,8,6,0,8,10,-1
2,8,5,1,9,10,-1
3,7,5,1,9,9,-1
3,6,5,1,8,7,-1
2,6,4,1,8,6,-1
3,5,4,1,7,5,-1
3,4,4,1,6,5,-1
2,4,3,1,5,5,-1
2,4,2,1,5,4,-1
3,3,2,1,4,3,-1
3,2,2,1,5,4,-1
2,2,1,1,4,5,-1
2,2,0,1,4,4,-1
3,1,0,1,4,3,-1
3,0,0,1,3,2,-1
0,0,1,1,1,2,-1
2,0,0,1,0,1,-1
1,1,0,1,1,0,-101
1,1,0,1,1,0,-101
