Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,11,0
0,7,1,0,2,12,-1
3,6,1,0,1,12,-1
0,6,2,0,1,13,-1
1,7,2,0,1,12,-1
2,7,1,0,1,11,-1
1,8,1,0,1,12,-1
1,9,1,0,2,12,-1
1,10,1,0,1,12,-1
0,10,2,0,1,11,-1
0,10,3,0,1,12,-1
0,10,4,1,2,12,-1
0,10,5,0,1,12,-1
3,9,5,1,2,12,-1
0,9,6,0,1,12,-1
3,8,6,1,2,12,-1
1,9,6,0,1,12,-1
2,9,5,0,1,11,-1
0,9,6,0,0,11,-1
0,9,7,0,1,11,-1
1,10,7,0,1,12,-1
0,10,8,0,1,11,-1
2,10,7,0,0,11,-1
1,11,7,0,0,10,-1
1,12,7,0,0,9,-1
3,11,7,0,1,9,-1
2,11,6,0,0,9,-1
0,11,7,0,1,9,-1
0,11,8,0,1,8,-1
1,12,8,0,1,9,-1
1,13,8,0,0,9,-1
0,13,9,0,0,10,-1
0,13,10,0,0,11,-1
3,12,10,0,0,10,-1
1,13,10,0,0,11,-1
1,14,10,0,1,11,-1
3,13,10,0,1,12,-1
0,13,11,0,2,12,-1
1,14,11,0,3,12,-1
3,13,11,0,2,12,-1
2,13,10,0,2,13,-1
0,13,11,0,1,13,-1
3,12,11,0,1,12,-1
0,12,12,1,2,12,-1
3,11,12,1,3,12,-1
3,10,12,0,3,11,-1
0,10,13,0,3,12,-1
1,11,13,0,4,12,-1
0,11,14,0,3,12,-1
3,10,14,0,3,11,-1
1,11,14,0,3,12,-1
2,11,13,0,4,12,-1
3,10,13,0,5,12,-1
0,10,14,0,7,12,-1
3,9,14,1,8,12,-1
3,8,14,1,8,13,-1
3,7,14,1,7,14,999
3,7,14,1,7,14,999
