Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
0,5,1,2,0,-1
0,5,2,1,0,-1
1,6,2,2,0,-1
0,6,3,3,0,-1
1,7,3,2,0,-1
0,7,4,2,1,-1
1,8,4,4,1,-1
1,9,4,5,1,-1
1,10,4,6,1,-1
0,10,5,6,2,-1
2,10,4,6,1,-1
2,10,3,6,2,-1
2,10,2,6,3,-1
0,10,3,7,3,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,7,4,-1
0,10,3,7,3,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,7,4,-1
0,10,3,7,3,-1
2,10,2,6,3,-1
0,10,3,7,3,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,7,4,-1
0,10,3,8,4,-1
2,10,2,9,4,-1
0,10,3,10,3,-1001
0,10,3,10,3,-1001
