Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,7,11,0
3,7,1,0,6,11,-1
0,6,1,0,5,11,-1
1,6,2,0,5,10,-1
0,7,2,0,5,9,-1
1,7,3,0,4,9,-1
0,8,3,0,5,9,-1
3,8,4,0,5,10,-1
2,7,4,0,5,9,-1
3,7,3,0,4,9,-1
2,6,3,0,5,9,-1
1,6,2,0,4,9,-1
1,7,2,0,4,10,-1
1,8,2,0,4,9,-1
1,9,2,0,5,9,-1
1,10,2,0,4,9,-1
0,11,2,0,5,9,-1
0,11,3,0,4,9,-1
0,11,4,0,4,10,-1
0,11,5,0,4,9,-1
0,11,6,0,4,10,-1
0,11,7,0,4,11,-1
0,11,8,0,4,10,-1
0,11,9,0,5,10,-1
0,11,10,0,5,9,-1
3,11,11,0,4,9,-1
3,10,11,0,5,9,-1
3,9,11,0,5,10,-1
3,8,11,0,4,10,-1
0,7,11,0,5,10,-1
0,7,12,1,6,11,-1
0,7,13,1,6,12,-1
3,7,14,1,7,11,999
3,7,14,1,7,11,999
