Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,7,11,0
3,6,0,0,7,12,-1
3,5,0,0,7,13,-1
1,6,0,0,7,14,-1
3,5,0,0,6,14,-1
0,5,1,0,6,13,-1
3,4,1,0,7,13,-1
2,4,0,0,6,13,-1
3,3,0,0,5,13,-1
3,2,0,0,4,13,-1
1,3,0,0,4,14,-1
1,4,0,0,4,13,-1
3,3,0,0,5,13,-1
1,4,0,0,5,14,-1
3,3,0,0,4,14,-1
1,4,0,0,4,13,-1
1,5,0,0,3,13,-1
3,4,0,0,3,14,-1
1,5,0,0,2,14,-1
0,5,1,0,2,13,-1
3,4,1,0,3,13,-1
2,4,0,0,4,13,-1
3,3,0,0,5,13,-1
1,4,0,0,6,13,-1
3,3,0,0,6,14,-1
1,4,0,0,7,14,-1
0,4,1,0,6,14,-1
2,4,0,0,5,14,-1
0,4,1,0,5,13,-1
2,4,0,0,6,13,-1
3,3,0,0,7,13,-1
1,4,0,0,8,13,-1
3,3,0,0,8,12,-1
1,4,0,0,8,13,-1
3,3,0,0,8,14,-1
3,2,0,0,8,13,-1
1,3,0,0,8,14,-1
3,2,0,0,9,14,-1
1,3,0,0,10,14,-1
3,2,0,0,9,14,-1
1,3,0,0,9,13,-1
3,2,0,0,9,12,-1
1,3,0,0,9,13,-1
3,2,0,0,9,14,-1
1,3,0,0,9,13,-1
1,4,0,0,9,12,-1
3,3,0,0,9,11,-1
1,4,0,0,10,11,-1
0,4,1,0,9,11,-1
2,4,0,0,9,12,-1
3,3,0,0,9,13,-1
1,4,0,0,10,13,-1
3,3,0,0,11,13,-1
1,4,0,0,12,13,-1
0,4,1,0,12,14,-1
2,4,0,0,12,13,-1
3,3,0,0,11,13,-1
1,4,0,0,10,13,-1
3,3,0,0,11,13,-1
1,4,0,0,12,13,-1
3,3,0,0,11,13,-1
1,4,0,0,12,13,-1
3,3,0,0,13,13,-1
1,4,0,1,12,12,-1
1,5,0,1,12,10,-1
3,4,0,1,11,10,-1
1,5,0,1,11,9,-1
3,4,0,1,10,9,-1
1,5,0,1,10,7,-1
3,4,0,1,9,6,-1
1,5,0,1,9,4,-1
3,4,0,1,8,4,-1
0,4,1,1,7,3,-1
2,4,0,1,5,3,-1
1,5,0,1,5,2,-1
1,6,0,1,5,0,-1
0,6,1,1,6,1,-101
0,6,1,1,6,1,-101
