Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-220.7290741514281,0,66,10.202630996704102,-1067.0
-824.8023833194335,1,8,0.6840479373931885,-1009.0
-908.4440628906249,2,4,0.4217829704284668,-1005.0
-664.8875248098508,3,17,1.4489879608154297,-1018.0
-563.4005376636011,4,24,1.602471113204956,-1025.0
-805.1823237364478,5,9,0.8109519481658936,-1010.0
-844.9255213532653,6,7,0.5240330696105957,-1008.0
-805.1823237364478,7,9,0.7706820964813232,-1010.0
-767.4014465019607,8,11,0.8440940380096436,-1012.0
-824.8023833194335,9,8,0.7867240905761719,-1009.0
-908.4440628906249,10,4,0.3385958671569824,-1005.0
-953.550625,11,2,0.18588709831237793,-1003.0
-805.1823237364478,12,9,0.43492794036865234,-1010.0
-697.3438788269304,13,15,1.754019021987915,-1016.0
-767.4014465019607,14,11,1.4052960872650146,-1012.0
-697.3438788269304,15,15,1.286653995513916,-1016.0
-824.8023833194335,16,8,0.905299186706543,-1009.0
-467.43599312077737,17,32,4.055215120315552,-1033.0
-865.5646372854002,18,6,0.44632411003112793,-1007.0
-886.7329613183592,19,5,0.3657240867614746,-1006.0
107.90094753801438,20,77,13.009780883789062,922.0
-467.43599312077737,21,32,1.6536898612976074,-1033.0
-805.1823237364478,22,9,0.5755491256713867,-1010.0
-908.4440628906249,23,4,0.3836970329284668,-1005.0
-886.7329613183592,24,5,0.33508896827697754,-1006.0
