Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,10,0
0,7,1,0,6,9,-1
0,7,2,0,6,8,-1
1,8,2,0,7,8,-1
0,8,3,0,7,9,-1
2,8,2,0,7,10,-1
0,8,3,0,6,10,-1
2,8,2,0,6,11,-1
0,8,3,0,6,10,-1
2,8,2,0,6,11,-1
0,8,3,0,6,10,-1
2,8,2,0,6,11,-1
0,8,3,0,7,11,-1
2,8,2,0,7,10,-1
0,8,3,0,7,11,-1
2,8,2,0,7,12,-1
0,8,3,0,8,12,-1
2,8,2,0,7,12,-1
0,8,3,0,7,11,-1
2,8,2,0,8,11,-1
0,8,3,0,8,10,-1
2,8,2,0,7,10,-1
0,8,3,0,6,10,-1
2,8,2,0,6,9,-1
0,8,3,0,6,8,-1
2,8,2,0,5,8,-1
0,8,3,0,5,7,-1
2,8,2,0,5,6,-1
0,8,3,0,5,5,-1
2,8,2,1,5,4,-1
2,8,1,1,5,3,-1
2,8,0,1,6,4,-1
1,9,0,1,6,3,-1
1,10,0,1,7,3,-1
3,9,0,1,7,1,-1
1,10,0,1,8,1,-1
1,11,0,1,8,2,-1
1,12,0,1,8,1,-1
1,13,0,1,9,0,-1
0,13,1,1,11,0,-1
0,13,2,1,12,1,-1
0,13,3,1,12,2,-1
0,13,4,1,13,3,-1
0,13,5,1,13,4,-1
0,13,6,1,13,5,-1
0,13,7,1,13,6,-1
0,13,8,1,14,5,-1
0,13,9,1,14,6,-1
3,12,9,1,13,7,-1
3,11,9,1,13,8,-1
3,10,9,1,11,8,-1
3,9,9,1,11,9,-1
3,8,9,1,9,9,-1
0,8,10,1,8,9,-1
0,8,11,1,8,11,-101
0,8,11,1,8,11,-101
