Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,0,1,-1
3,5,0,0,0,-1
1,6,0,1,0,-1
1,7,0,1,1,-1
0,7,1,1,0,-1
1,8,1,1,1,-1
3,7,1,0,1,-1
1,8,1,0,0,-1
1,9,1,0,1,-1
3,8,1,0,0,-1
2,8,0,0,1,-1
0,8,1,1,1,-1
1,9,1,0,1,-1
2,9,0,1,1,-1
0,9,1,1,0,-1
1,10,1,1,1,-1
2,10,0,1,0,-1
0,10,1,1,1,-1
3,9,1,1,0,-1
2,9,0,1,1,-1
0,9,1,1,0,-1
0,9,2,0,0,-1
2,9,1,1,0,-1
0,9,2,0,0,-1
1,10,2,1,0,-1
0,10,3,1,1,-1
0,10,4,1,0,-1
0,10,5,0,0,-1
0,10,6,0,1,-1
3,9,6,0,0,-1
1,10,6,0,1,-1
3,9,6,0,0,-1
1,10,6,0,1,-1
2,10,5,0,0,-1
0,10,6,0,1,-1
0,10,7,1,1,-1
0,10,8,0,1,-1
2,10,7,1,1,-1
3,9,7,0,1,-1
0,9,8,1,1,-1
3,8,8,0,1,-1
0,8,9,0,0,-1
3,7,9,0,1,-1
3,6,9,1,1,-1
0,6,10,0,1,-1
1,7,10,1,1,-1
3,6,10,1,0,-1
1,7,10,0,0,-1
2,7,9,1,0,-1
3,6,9,1,1,-1
0,6,10,0,1,-1
3,5,10,0,0,999
3,5,10,0,0,999
