Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,9,0
0,7,1,0,4,9,-1
0,7,2,0,4,8,-1
0,7,3,1,5,8,-1
0,7,4,1,4,8,-1
1,8,4,0,5,8,-1
0,8,5,0,5,9,-1
0,8,6,0,5,10,-1
1,9,6,0,5,9,-1
3,8,6,0,5,10,-1
1,9,6,0,6,10,-1
0,9,7,0,6,9,-1
0,9,8,1,6,10,-1
2,9,7,0,6,9,-1
2,9,6,0,6,10,-1
2,9,5,0,5,10,-1
3,8,5,0,5,9,-1
2,8,4,0,6,9,-1
3,7,4,0,6,10,-1
2,7,3,0,6,11,-1
3,6,3,0,5,11,-1
1,7,3,1,5,10,-1
1,8,3,0,5,11,-1
0,8,4,0,5,10,-1
2,8,3,0,5,11,-1
3,7,3,0,6,11,-1
0,7,4,0,5,11,-1
1,8,4,0,5,12,-1
3,7,4,0,6,12,-1
2,7,3,0,7,12,-1
0,7,4,0,7,11,-1
2,7,3,0,7,10,-1
3,6,3,0,7,11,-1
2,6,2,0,8,11,-1
0,6,3,0,8,10,-1
1,7,3,0,9,10,-1
3,6,3,0,9,11,-1
2,6,2,0,9,12,-1
0,6,3,0,9,13,-1
2,6,2,0,9,14,-1
0,6,3,0,8,14,-1
1,7,3,0,8,13,-1
3,6,3,0,8,14,-1
2,6,2,0,9,14,-1
0,6,3,0,9,13,-1
1,7,3,0,9,12,-1
3,6,3,0,9,11,-1
1,7,3,0,9,12,-1
3,6,3,0,8,12,-1
2,6,2,0,8,13,-1
0,6,3,0,7,13,-1
2,6,2,0,7,14,-1
0,6,3,0,6,14,-1
1,7,3,0,5,14,-1
0,7,4,0,5,13,-1
2,7,3,0,6,13,-1
0,7,4,0,6,12,-1
1,8,4,0,6,11,-1
0,8,5,0,6,10,-1
1,9,5,0,6,11,-1
0,9,6,0,6,10,-1
0,9,7,0,6,11,-1
0,9,8,1,5,10,-1
0,9,9,1,6,11,-1
0,9,10,1,8,11,-1
2,9,9,1,8,10,-1
0,9,10,1,9,10,-101
0,9,10,1,9,10,-101
