Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,8,10,0
1,8,0,0,7,11,-1
3,7,0,0,7,10,-1
0,7,1,0,7,11,-1
1,8,1,0,7,10,-1
1,9,1,1,8,10,-1
2,9,0,1,8,8,-1
1,10,0,1,8,6,-1
1,11,0,1,8,5,-1
1,12,0,0,9,5,-1
3,11,0,1,9,3,-1
1,12,0,1,8,4,-1
1,13,0,1,9,4,-1
0,13,1,1,10,3,-1
2,13,0,1,11,2,-1
1,14,0,1,12,2,-1
0,14,1,1,11,1,-1
0,14,2,1,10,0,-1
0,14,3,1,11,0,-1
0,14,4,1,11,1,-1
0,14,5,1,12,2,-1
0,14,6,1,12,4,-1
0,14,7,1,13,5,-1
0,14,8,1,13,6,-1
0,14,9,1,14,7,-1
0,14,10,1,14,9,-1
0,14,11,1,13,10,-1
0,14,12,1,12,10,-1
0,14,13,1,12,11,-1
0,14,14,1,12,10,-1
3,13,14,1,12,12,-1
2,13,13,1,13,12,-1
3,12,13,1,13,11,-1
1,13,13,1,13,13,-101
1,13,13,1,13,13,-101
