Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-886.7329613183592,0,5,0.014755964279174805,-1006.0
-930.7118593749999,1,3,0.0023050308227539062,-1004.0
-976.975,2,1,0.001024007797241211,-1002.0
-976.975,3,1,0.0010209083557128906,-1002.0
-805.1823237364478,4,9,0.005396842956542969,-1010.0
-886.7329613183592,5,5,0.0028901100158691406,-1006.0
-865.5646372854002,6,6,0.004230022430419922,-1007.0
-930.7118593749999,7,3,0.003320932388305664,-1004.0
-844.9255213532653,8,7,0.0039539337158203125,-1008.0
-953.550625,9,2,0.0013818740844726562,-1003.0
-786.0527656430365,10,10,0.0061490535736083984,-1011.0
-865.5646372854002,11,6,0.0038480758666992188,-1007.0
-865.5646372854002,12,6,0.0036230087280273438,-1007.0
-865.5646372854002,13,6,0.003469228744506836,-1007.0
-930.7118593749999,14,3,0.0020411014556884766,-1004.0
-865.5646372854002,15,6,0.005412101745605469,-1007.0
-749.2164103394115,16,12,0.007071018218994141,-1013.0
-953.550625,17,2,0.0015411376953125,-1003.0
-976.975,18,1,0.0009610652923583984,-1002.0
-886.7329613183592,19,5,0.0034589767456054688,-1006.0
-930.7118593749999,20,3,0.0023369789123535156,-1004.0
-953.550625,21,2,0.0016338825225830078,-1003.0
-786.0527656430365,22,10,0.00603795051574707,-1011.0
-824.8023833194335,23,8,0.004729032516479492,-1009.0
-930.7118593749999,24,3,0.002254009246826172,-1004.0
