Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-953.550625,0,2,0.04237508773803711,-1003.0
-908.4440628906249,1,4,0.002599000930786133,-1005.0
-805.1823237364478,2,9,0.005238056182861328,-1010.0
-865.5646372854002,3,6,0.00345611572265625,-1007.0
-930.7118593749999,4,3,0.0019960403442382812,-1004.0
-805.1823237364478,5,9,0.005506038665771484,-1010.0
-908.4440628906249,6,4,0.010783910751342773,-1005.0
-886.7329613183592,7,5,0.0031290054321289062,-1006.0
-908.4440628906249,8,4,0.0024089813232421875,-1005.0
-824.8023833194335,9,8,0.012699127197265625,-1009.0
-824.8023833194335,10,8,0.005730152130126953,-1009.0
-824.8023833194335,11,8,0.004706144332885742,-1009.0
-930.7118593749999,12,3,0.00222015380859375,-1004.0
-886.7329613183592,13,5,0.003047943115234375,-1006.0
-930.7118593749999,14,3,0.0019559860229492188,-1004.0
-844.9255213532653,15,7,0.0042688846588134766,-1008.0
-844.9255213532653,16,7,0.004420042037963867,-1008.0
-908.4440628906249,17,4,0.002485990524291992,-1005.0
-805.1823237364478,18,9,0.005570888519287109,-1010.0
-953.550625,19,2,0.0015060901641845703,-1003.0
-953.550625,20,2,0.001528024673461914,-1003.0
-805.1823237364478,21,9,0.005140066146850586,-1010.0
-844.9255213532653,22,7,0.0042569637298583984,-1008.0
-865.5646372854002,23,6,0.0037109851837158203,-1007.0
-908.4440628906249,24,4,0.004334926605224609,-1005.0
