-930.7118593749999,0,3,32.01919603347778,-1004.0
-844.9255213532653,1,7,47.3870530128479,-1008.0
-805.1823237364478,2,9,60.63214898109436,-1010.0
-930.7118593749999,3,3,31.106915950775146,-1004.0
-865.5646372854002,4,6,43.79280185699463,-1007.0
-930.7118593749999,5,3,30.65709614753723,-1004.0
-930.7118593749999,6,3,32.97990608215332,-1004.0
-805.1823237364478,7,9,88.447261095047,-1010.0
-930.7118593749999,8,3,30.55789089202881,-1004.0
-930.7118593749999,9,3,30.238083839416504,-1004.0
-908.4440628906249,10,4,33.345237016677856,-1005.0
-886.7329613183592,11,5,51.2707200050354,-1006.0
-805.1823237364478,12,9,56.31657099723816,-1010.0
-865.5646372854002,13,6,48.01387095451355,-1007.0
-930.7118593749999,14,3,29.890900135040283,-1004.0
-844.9255213532653,15,7,52.01603889465332,-1008.0
-930.7118593749999,16,3,32.19806098937988,-1004.0
-930.7118593749999,17,3,30.58537793159485,-1004.0
