Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-908.4440628906249,0,4,0.05309700965881348,-1005.0
-908.4440628906249,1,4,0.046473026275634766,-1005.0
-886.7329613183592,2,5,0.04983806610107422,-1006.0
-805.1823237364478,3,9,0.11139488220214844,-1010.0
-865.5646372854002,4,6,0.07987213134765625,-1007.0
-805.1823237364478,5,9,0.11072993278503418,-1010.0
-786.0527656430365,6,10,0.11422491073608398,-1011.0
-714.198850078903,7,14,0.2557830810546875,-1015.0
-865.5646372854002,8,6,0.08470392227172852,-1007.0
-886.7329613183592,9,5,0.08128690719604492,-1006.0
-930.7118593749999,10,3,0.04623222351074219,-1004.0
-767.4014465019607,11,11,0.14033198356628418,-1012.0
-767.4014465019607,12,11,0.12685894966125488,-1012.0
-886.7329613183592,13,5,0.08537411689758301,-1006.0
-786.0527656430365,14,10,0.14229488372802734,-1011.0
-930.7118593749999,15,3,0.04571700096130371,-1004.0
-786.0527656430365,16,10,0.16089701652526855,-1011.0
-844.9255213532653,17,7,0.10234308242797852,-1008.0
-844.9255213532653,18,7,0.06825804710388184,-1008.0
-786.0527656430365,19,10,0.10343194007873535,-1011.0
-908.4440628906249,20,4,0.09273695945739746,-1005.0
-865.5646372854002,21,6,0.10805606842041016,-1007.0
-908.4440628906249,22,4,0.05017399787902832,-1005.0
-865.5646372854002,23,6,0.05722999572753906,-1007.0
-865.5646372854002,24,6,0.054205894470214844,-1007.0
