Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,7,0
3,6,0,0,12,8,-1
3,5,0,0,12,7,-1
3,4,0,0,11,7,-1
3,3,0,0,12,7,-1
1,4,0,1,12,6,-1
3,3,0,1,13,6,-1
3,2,0,1,13,5,-1
0,2,1,1,13,4,-1
0,2,2,1,13,3,-1
0,2,3,0,13,4,-1
3,1,3,0,13,5,-1
0,1,4,0,13,4,-1
0,1,5,0,12,4,-1
0,1,6,0,12,5,-1
0,1,7,0,12,4,-1
0,1,8,0,11,4,-1
0,1,9,0,11,3,-1
0,1,10,0,11,2,-1
0,1,11,0,10,2,-1
3,0,11,0,11,2,-1
0,0,12,0,12,2,-1
0,0,13,0,11,2,-1
0,0,14,0,11,1,-1
1,1,14,0,12,1,-1
3,0,14,0,13,1,-1
1,1,14,0,13,0,-1
3,0,14,0,13,1,-1
1,1,14,0,14,1,-1
1,2,14,0,14,0,-1
3,1,14,0,14,1,-1
3,0,14,0,13,1,-1
1,1,14,0,14,1,-1
1,2,14,0,13,1,-1
1,3,14,0,13,0,-1
3,2,14,0,12,0,-1
1,3,14,0,11,0,-1
1,4,14,1,11,2,-1
2,4,13,0,11,4,-1
1,5,13,0,11,5,-1
2,5,12,0,11,6,-1
0,5,13,1,11,7,-1
1,6,13,1,11,8,-1
2,6,12,1,11,7,-1
2,6,11,1,11,8,-1
1,7,11,1,10,8,-1
0,7,12,1,9,9,-1
0,7,13,1,9,11,-1
0,7,14,1,8,12,999
0,7,14,1,8,12,999
