Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
0,5,1,0,0,-1
1,6,1,1,0,-1
1,7,1,2,0,-1
1,8,1,3,0,-1
0,8,2,4,0,-1
3,7,2,3,0,-1
1,8,2,5,0,-1
1,9,2,5,2,-1
3,8,2,4,2,-1
0,8,3,4,2,-1
2,8,2,5,2,-1
0,8,3,6,2,-1
1,9,3,8,2,-1
0,9,4,8,3,-1
1,10,4,9,3,-1
0,10,5,10,4,-1
2,10,4,9,3,-1
0,10,5,10,2,-1
0,10,6,10,3,-1
0,10,7,10,5,-1
0,10,8,8,5,-1
0,10,9,8,7,-1
0,10,10,9,7,-1
3,9,10,9,9,-1
2,9,9,8,9,-1
3,8,9,7,9,-1
3,7,9,6,9,-1
3,6,9,5,8,-1
0,6,10,5,9,-1
1,7,10,6,9,-1
3,6,10,4,9,-1
3,5,10,5,9,999
3,5,10,5,9,999
