Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-908.4440628906249,0,4,0.07654809951782227,-1005.0
-824.8023833194335,1,8,0.07889914512634277,-1009.0
-976.975,2,1,0.01793193817138672,-1002.0
-930.7118593749999,3,3,0.03164100646972656,-1004.0
-824.8023833194335,4,8,0.07303786277770996,-1009.0
-664.8875248098508,5,17,0.1976020336151123,-1018.0
-908.4440628906249,6,4,0.048805952072143555,-1005.0
-908.4440628906249,7,4,0.06799817085266113,-1005.0
-786.0527656430365,8,10,0.11501812934875488,-1011.0
-697.3438788269304,9,15,0.13064002990722656,-1016.0
-886.7329613183592,10,5,0.04534411430358887,-1006.0
-563.4005376636011,11,24,0.3097958564758301,-1025.0
-908.4440628906249,12,4,0.04780316352844238,-1005.0
-886.7329613183592,13,5,0.053420066833496094,-1006.0
-908.4440628906249,14,4,0.09713482856750488,-1005.0
-805.1823237364478,15,9,0.11787891387939453,-1010.0
-590.5857069439589,16,22,0.22501277923583984,-1023.0
-930.7118593749999,17,3,0.03872108459472656,-1004.0
-930.7118593749999,18,3,0.03574085235595703,-1004.0
-908.4440628906249,19,4,0.03894805908203125,-1005.0
-844.9255213532653,20,7,0.05879712104797363,-1008.0
-865.5646372854002,21,6,0.07078409194946289,-1007.0
-908.4440628906249,22,4,0.05549311637878418,-1005.0
-786.0527656430365,23,10,0.08832502365112305,-1011.0
-634.0337032723642,24,19,0.2404470443725586,-1020.0
