Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-844.9255213532653,0,7,0.014396190643310547,-1008.0
-805.1823237364478,1,9,0.0182950496673584,-1010.0
-908.4440628906249,2,4,0.00925302505493164,-1005.0
-953.550625,3,2,0.005379915237426758,-1003.0
-953.550625,4,2,0.005182027816772461,-1003.0
-865.5646372854002,5,6,0.013482809066772461,-1007.0
-886.7329613183592,6,5,0.010812997817993164,-1006.0
-886.7329613183592,7,5,0.010693073272705078,-1006.0
-908.4440628906249,8,4,0.008790969848632812,-1005.0
-976.975,9,1,0.0036420822143554688,-1002.0
-953.550625,10,2,0.00518798828125,-1003.0
-865.5646372854002,11,6,0.013076066970825195,-1007.0
-930.7118593749999,12,3,0.007152080535888672,-1004.0
-908.4440628906249,13,4,0.008920907974243164,-1005.0
-930.7118593749999,14,3,0.0071980953216552734,-1004.0
-749.2164103394115,15,12,0.024113893508911133,-1013.0
-930.7118593749999,16,3,0.006880044937133789,-1004.0
-953.550625,17,2,0.005488872528076172,-1003.0
-908.4440628906249,18,4,0.009508132934570312,-1005.0
-976.975,19,1,0.0036230087280273438,-1002.0
-824.8023833194335,20,8,0.015442848205566406,-1009.0
-953.550625,21,2,0.00506901741027832,-1003.0
-786.0527656430365,22,10,0.019737958908081055,-1011.0
-953.550625,23,2,0.0054700374603271484,-1003.0
-749.2164103394115,24,12,0.024291038513183594,-1013.0
