Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,1,0,-1
1,7,0,1,1,-1
1,8,0,1,0,-1
0,8,1,1,1,-1
0,8,2,2,1,-1
3,7,2,1,1,-1
0,7,3,0,1,-1
3,6,3,2,1,-1
0,6,4,1,0,-1
0,6,5,2,0,-1
3,5,5,2,1,-1
0,5,6,1,1,-1
3,4,6,2,1,-1
0,4,7,2,2,-1
1,5,7,3,2,-1
2,5,6,4,2,-1
3,4,6,3,2,-1
3,3,6,2,2,-1
3,2,6,2,1,-1
0,2,7,2,2,-1
2,2,6,3,2,-1
3,1,6,4,2,-1
1,2,6,3,2,-1
0,2,7,4,2,-1
1,3,7,3,2,-1
2,3,6,2,2,-1
0,3,7,3,2,-1
3,2,7,4,2,-1
3,1,7,3,2,-1
1,2,7,4,2,-1
0,2,8,3,2,-1
3,1,8,4,2,-1
1,2,8,3,2,-1
3,1,8,4,2,-1
0,1,9,3,2,-1
0,1,10,4,2,-1
1,2,10,4,1,-1
1,3,10,4,2,-1
1,4,10,3,2,-1
1,5,10,2,2,999
1,5,10,2,2,999
