Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,10,8,0
1,8,0,0,10,9,-1
0,8,1,0,9,9,-1
1,9,1,0,9,10,-1
0,9,2,0,9,9,-1
0,9,3,0,10,9,-1
2,9,2,0,9,9,-1
0,9,3,0,8,9,-1
0,9,4,0,7,9,-1
3,8,4,1,7,8,-1
2,8,3,1,7,6,-1
2,8,2,1,7,5,-1
2,8,1,1,7,3,-1
1,9,1,1,7,2,-1
1,10,1,1,9,2,-1
1,11,1,1,10,2,-1
1,12,1,1,11,1,-1
1,13,1,1,11,0,-1
0,13,2,1,9,0,-1
0,13,3,1,10,0,-1
0,13,4,1,11,1,-1
0,13,5,1,12,2,-1
0,13,6,1,13,1,-1
0,13,7,1,13,2,-1
3,12,7,1,14,3,-1
3,11,7,1,13,4,-1
0,11,8,1,13,6,-1
0,11,9,1,13,7,-1
3,10,9,1,14,6,-1
0,10,10,1,13,7,-1
0,10,11,1,12,6,-1
2,10,10,1,12,8,-1
0,10,11,1,11,9,-1
3,9,11,1,10,9,-1
0,9,12,1,10,10,-1
0,9,13,1,10,9,-1
0,9,14,1,10,10,-1
1,10,14,1,9,10,-1
3,9,14,1,9,11,-1
3,8,14,1,9,10,-1
3,7,14,1,9,12,999
3,7,14,1,9,12,999
