Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-953.550625,0,2,28.500189065933228,-1003.0
-805.1823237364478,1,9,84.95259809494019,-1010.0
-886.7329613183592,2,5,54.609790086746216,-1006.0
-886.7329613183592,3,5,64.0521559715271,-1006.0
-886.7329613183592,4,5,54.493186950683594,-1006.0
-865.5646372854002,5,6,62.985864877700806,-1007.0
-908.4440628906249,6,4,41.113868951797485,-1005.0
-805.1823237364478,7,9,83.66426205635071,-1010.0
-824.8023833194335,8,8,65.61086511611938,-1009.0
-930.7118593749999,9,3,36.795302867889404,-1004.0
-767.4014465019607,10,11,80.01069498062134,-1012.0
-824.8023833194335,11,8,76.62534284591675,-1009.0
-930.7118593749999,12,3,36.55053400993347,-1004.0
-930.7118593749999,13,3,36.754997968673706,-1004.0
-805.1823237364478,14,9,79.17003512382507,-1010.0
-930.7118593749999,15,3,38.28461790084839,-1004.0
-908.4440628906249,16,4,43.52383208274841,-1005.0
-908.4440628906249,17,4,48.547109842300415,-1005.0
-886.7329613183592,18,5,66.58562898635864,-1006.0
-865.5646372854002,19,6,72.62317895889282,-1007.0
-953.550625,20,2,29.963011980056763,-1003.0
-697.3438788269304,21,15,119.81317687034607,-1016.0
-865.5646372854002,22,6,55.29177403450012,-1007.0
-930.7118593749999,23,3,40.10887312889099,-1004.0
-824.8023833194335,24,8,74.52795386314392,-1009.0
