Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,7,0
0,7,1,0,0,6,-1
0,7,2,0,0,7,-1
0,7,3,0,0,6,-1
2,7,2,0,0,7,-1
0,7,3,0,0,6,-1
2,7,2,0,0,7,-1
0,7,3,0,1,7,-1
1,8,3,0,2,7,-1
3,7,3,0,2,6,-1
3,6,3,0,2,7,-1
1,7,3,0,2,6,-1
0,7,4,0,2,7,-1
2,7,3,0,1,7,-1
1,8,3,0,2,7,-1
2,8,2,1,2,6,-1
3,7,2,1,1,7,-1
1,8,2,0,2,7,-1
3,7,2,0,2,6,-1
0,7,3,0,2,7,-1
0,7,4,0,2,6,-1
2,7,3,0,2,7,-1
0,7,4,0,2,6,-1
1,8,4,0,2,7,-1
0,8,5,0,2,6,-1
3,7,5,0,2,7,-1
1,8,5,0,2,6,-1
3,7,5,0,2,7,-1
2,7,4,0,2,6,-1
2,7,3,0,2,7,-1
1,8,3,0,2,6,-1
0,8,4,0,2,7,-1
0,8,5,0,2,6,-1
2,8,4,0,2,7,-1
0,8,5,0,2,6,-1
3,7,5,0,2,7,-1
1,8,5,0,2,6,-1
2,8,4,0,2,7,-1
3,7,4,0,2,6,-1
2,7,3,0,2,7,-1
2,7,2,0,2,6,-1
0,7,3,0,2,7,-1
2,7,2,0,2,6,-1
1,8,2,0,1,7,-1
0,8,3,0,2,7,-1
3,7,3,0,2,6,-1
1,8,3,0,2,7,-1
0,8,4,0,2,6,-1
3,7,4,0,2,7,-1
2,7,3,0,2,6,-1
1,8,3,0,2,7,-1
3,7,3,0,2,6,-1
0,7,4,0,2,7,-1
2,7,3,0,2,6,-1
1,8,3,0,2,7,-1
0,8,4,0,2,6,-1
2,8,3,0,2,7,-1
3,7,3,0,2,6,-1
1,8,3,0,2,7,-1
0,8,4,0,2,6,-1
3,7,4,0,2,7,-1
1,8,4,0,2,6,-1
0,8,5,0,2,7,-1
2,8,4,0,2,6,-1
0,8,5,0,2,7,-1
3,7,5,0,2,6,-1
2,7,4,0,2,7,-1
0,7,5,0,2,6,-1
1,8,5,0,2,7,-1
3,7,5,0,2,6,-1
1,8,5,0,2,7,-1
3,7,5,0,2,6,-1
1,8,5,0,2,7,-1
1,9,5,0,2,6,-1
3,8,5,0,2,7,-1
2,8,4,0,2,6,-1
2,8,3,0,2,7,-1
0,8,4,0,1,7,-1
3,7,4,0,2,7,-1
2,7,3,0,2,6,-1
2,7,2,0,2,7,-1
0,7,3,0,2,6,-1
0,7,4,0,2,7,-1
0,7,5,0,2,6,-1
2,7,4,0,2,7,-1
0,7,5,0,2,6,-1
2,7,4,0,2,7,-1
2,7,3,0,2,6,-1
0,7,4,0,2,7,-1
2,7,3,0,2,6,-1
0,7,4,0,2,7,-1
2,7,3,0,2,6,-1
1,8,3,0,2,7,-1
0,8,4,0,2,6,-1
0,8,5,0,2,7,-1
3,7,5,0,2,6,-1
1,8,5,0,2,7,-1
3,7,5,0,2,6,-1
2,7,4,0,2,7,-1
0,7,5,0,2,6,-1
3,6,5,0,2,7,-1
1,7,5,0,2,6,-1
1,8,5,0,2,7,-1
3,7,5,0,2,6,-1
2,7,4,0,2,7,-1
0,7,5,0,2,6,-1
1,8,5,0,2,7,-1
3,7,5,0,2,6,-1
3,6,5,0,2,7,-1
1,7,5,0,2,6,-1
2,7,4,0,2,7,-1
2,7,3,0,2,6,-1
1,8,3,0,2,7,-1
3,7,3,0,2,6,-1
1,8,3,0,2,7,-1
2,8,2,1,2,6,-1
3,7,2,0,2,7,-1
3,6,2,0,2,6,-1
1,7,2,0,2,7,-1
0,7,3,0,2,6,-1
3,6,3,1,1,7,-1
3,5,3,0,0,6,-1
0,5,4,0,0,5,-1
2,5,3,1,1,4,-1
1,6,3,0,3,4,-1
3,5,3,1,3,3,-1
0,5,4,1,4,3,-1
0,5,5,1,5,3,-1
1,6,5,1,5,5,-1
0,6,6,1,4,5,-1
0,6,7,0,5,5,-1
0,6,8,1,5,3,-1
0,6,9,0,5,5,-1
1,7,9,1,6,5,-1
0,7,10,0,5,5,-1
0,7,11,0,4,5,-1
2,7,10,1,4,6,-1
1,8,10,1,5,5,-1
3,7,10,1,6,5,-1
0,7,11,1,6,7,-1
3,6,11,0,5,8,-1
0,6,12,0,6,8,-1
0,6,13,1,7,8,-1
0,6,14,1,7,9,-1
1,7,14,1,7,10,999
1,7,14,1,7,10,999
