Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,0,1,-1
3,5,0,1,1,-1
0,5,1,1,0,-1
2,5,0,2,0,-1
0,5,1,1,0,-1
1,6,1,0,0,-1
1,7,1,0,1,-1
3,6,1,0,2,-1
2,6,0,0,1,-1
1,7,0,1,1,-1
3,6,0,2,1,-1
0,6,1,2,2,-1
3,5,1,2,3,-1
1,6,1,3,3,-1
2,6,0,2,3,-1
1,7,0,2,2,-1
0,7,1,2,1,-1
0,7,2,2,2,-1
1,8,2,1,2,-1
1,9,2,2,2,-1
0,9,3,1,2,-1
1,10,3,2,2,-1
0,10,4,1,2,-1
0,10,5,0,2,-1
0,10,6,0,1,-1
2,10,5,1,1,-1
0,10,6,0,1,-1
0,10,7,0,2,-1
2,10,6,0,1,-1
0,10,7,0,0,-1
0,10,8,1,0,-1
3,9,8,1,1,-1
3,8,8,2,1,-1
3,7,8,2,2,-1
0,7,9,2,3,-1
0,7,10,3,3,-1
3,6,10,2,3,-1
3,5,10,3,3,999
3,5,10,3,3,999
