Depth 100,Depth 1000
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-1,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-1,-101.0
-101,-101.0
-1,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,-101.0
-101,
-101,
-101,
-101,
-101,
-1,
-101,
-101,
-101,
