Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-908.4440628906249,0,4,28.862640142440796,-1005.0
-786.0527656430365,1,10,54.48940706253052,-1011.0
-886.7329613183592,2,5,25.080391883850098,-1006.0
-824.8023833194335,3,8,47.89729690551758,-1009.0
-844.9255213532653,4,7,42.409197092056274,-1008.0
-908.4440628906249,5,4,22.07865285873413,-1005.0
-865.5646372854002,6,6,33.38736701011658,-1007.0
-786.0527656430365,7,10,49.30705904960632,-1011.0
-886.7329613183592,8,5,35.02850294113159,-1006.0
-865.5646372854002,9,6,33.72379112243652,-1007.0
410.57580325824716,10,33,215.3017292022705,966.0
-865.5646372854002,11,6,38.34513592720032,-1007.0
-865.5646372854002,12,6,29.83924102783203,-1007.0
-930.7118593749999,13,3,21.96111297607422,-1004.0
-908.4440628906249,14,4,21.754178047180176,-1005.0
-824.8023833194335,15,8,51.17675590515137,-1009.0
-865.5646372854002,16,6,34.94275403022766,-1007.0
-824.8023833194335,17,8,43.74674892425537,-1009.0
-844.9255213532653,18,7,36.853853940963745,-1008.0
-714.198850078903,19,14,69.11248803138733,-1015.0
-786.0527656430365,20,10,47.797974824905396,-1011.0
-824.8023833194335,21,8,46.23624515533447,-1009.0
-767.4014465019607,22,11,51.14787316322327,-1012.0
-525.1186952135492,23,27,118.0223069190979,-1028.0
484.49357370122544,24,27,141.1682620048523,972.0
