Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,1,0
3,6,0,0,14,2,-1
1,7,0,0,13,2,-1
1,8,0,0,14,2,-1
3,7,0,0,14,3,-1
0,7,1,0,13,3,-1
3,6,1,0,13,4,-1
3,5,1,0,12,4,-1
1,6,1,0,11,4,-1
3,5,1,0,12,4,-1
1,6,1,0,11,4,-1
1,7,1,0,10,4,-1
3,6,1,0,9,4,-1
2,6,0,0,9,5,-1
0,6,1,0,8,5,-1
2,6,0,0,8,4,-1
0,6,1,0,7,4,-1
3,5,1,0,6,4,-1
1,6,1,0,6,5,-1
3,5,1,0,7,5,-1
1,6,1,0,8,5,-1
1,7,1,0,8,4,-1
1,8,1,0,8,5,-1
3,7,1,0,7,5,-1
3,6,1,0,7,6,-1
1,7,1,0,7,7,-1
3,6,1,0,6,7,-1
3,5,1,0,7,7,-1
1,6,1,0,7,6,-1
3,5,1,0,6,6,-1
1,6,1,0,6,5,-1
2,6,0,0,7,5,-1
0,6,1,0,8,5,-1
2,6,0,0,8,6,-1
0,6,1,0,8,7,-1
1,7,1,0,9,7,-1
3,6,1,0,9,6,-1
1,7,1,0,8,6,-1
1,8,1,0,8,7,-1
2,8,0,0,8,8,-1
0,8,1,0,9,8,-1
3,7,1,0,9,7,-1
3,6,1,0,8,7,-1
1,7,1,0,8,6,-1
3,6,1,0,7,6,-1
3,5,1,0,7,5,-1
1,6,1,0,7,6,-1
3,5,1,0,6,6,-1
1,6,1,0,6,7,-1
3,5,1,0,6,6,-1
1,6,1,0,6,7,-1
3,5,1,0,6,6,-1
1,6,1,0,7,6,-1
3,5,1,0,6,6,-1
1,6,1,0,7,6,-1
3,5,1,0,6,6,-1
1,6,1,0,7,6,-1
3,5,1,0,6,6,-1
1,6,1,0,5,6,-1
3,5,1,0,5,7,-1
1,6,1,0,6,7,-1
1,7,1,0,6,8,-1
2,7,0,0,6,9,-1
0,7,1,0,7,9,-1
3,6,1,0,7,8,-1
1,7,1,0,7,9,-1
2,7,0,0,7,10,-1
0,7,1,0,8,10,-1
3,6,1,0,8,9,-1
2,6,0,0,7,9,-1
1,7,0,0,6,9,-1
3,6,0,0,6,10,-1
1,7,0,0,6,9,-1
3,6,0,0,6,10,-1
1,7,0,0,6,9,-1
3,6,0,0,5,9,-1
0,6,1,0,5,8,-1
2,6,0,0,5,7,-1
0,6,1,0,5,8,-1
3,5,1,0,6,8,-1
1,6,1,0,6,9,-1
3,5,1,0,5,9,-1
1,6,1,0,5,8,-1
3,5,1,0,5,9,-1
1,6,1,0,6,9,-1
1,7,1,0,7,9,-1
3,6,1,0,6,9,-1
1,7,1,0,7,9,-1
1,8,1,0,7,8,-1
2,8,0,0,8,8,-1
1,9,0,1,8,6,-1
3,8,0,0,8,4,-1
3,7,0,0,9,3,-1
3,6,0,1,9,1,-1
1,7,0,1,7,1,-1
1,8,0,1,7,0,-1
0,8,1,1,8,0,-1
1,9,1,1,9,0,-1
0,9,2,1,9,1,-1
0,9,3,0,8,1,-1
3,8,3,0,8,0,-1
0,8,4,0,8,1,-1
3,7,4,0,9,1,-1
0,7,5,1,9,2,-1
3,6,5,1,8,3,-1
0,6,6,1,7,4,-1
0,6,7,1,7,6,-1
3,5,7,1,5,6,-1
0,5,8,1,5,7,-1
0,5,9,1,6,8,-1
0,5,10,1,5,9,-1
0,5,11,1,4,8,-1
1,6,11,1,4,9,-1
0,6,12,1,4,10,-1
0,6,13,1,3,10,-1
1,7,13,1,2,11,-1
3,6,13,1,4,11,-1
1,7,13,1,5,11,-1
0,7,14,1,5,12,999
0,7,14,1,5,12,999
