Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,14,0
0,7,1,0,10,14,-1
1,8,1,1,11,13,-1
0,8,2,0,12,12,-1
1,9,2,1,13,12,-1
2,9,1,1,13,10,-1
2,9,0,1,12,9,-1
0,9,1,1,12,8,-1
3,8,1,1,12,7,-1
2,8,0,1,11,8,-1
1,9,0,0,10,8,-1
1,10,0,0,10,9,-1
0,10,1,0,10,8,-1
3,9,1,1,9,8,-1
1,10,1,1,8,7,-1
1,11,1,1,9,7,-1
1,12,1,1,10,6,-1
1,13,1,1,9,5,-1
2,13,0,1,9,3,-1
1,14,0,1,9,4,-1
0,14,1,1,9,5,-1
2,14,0,1,10,4,-1
3,13,0,1,9,5,-1
1,14,0,1,10,4,-1
3,13,0,1,10,2,-1
1,14,0,1,10,3,-1
0,14,1,1,10,4,-1
2,14,0,1,10,3,-1
0,14,1,1,12,3,-1
2,14,0,1,12,2,-1
0,14,1,1,10,2,-1
2,14,0,1,11,3,-1
0,14,1,1,11,4,-1
2,14,0,1,11,3,-1
3,13,0,1,11,2,-1
1,14,0,1,12,2,-1
3,13,0,1,13,1,-1
3,12,0,1,12,2,-1
3,11,0,1,11,1,-1
3,10,0,1,10,0,-101
3,10,0,1,10,0,-101
