Depth 100,Depth 1000
-101.0,-101
-1.0,-101
-1.0,-101
-1.0,-101
999.0,-101
-1.0,-101
-1.0,-101
-101.0,-126
-101.0,-101
-101.0,-101
-1.0,-101
-1.0,-126
-101.0,-101
-1.0,-101
999.0,-101
-101.0,-101
999.0,999
-101.0,-126
-1.0,-101
-1.0,-126
-1.0,-101
-1.0,-101
-101.0,-101
-101.0,-101
-101.0,-101
-101.0,-126
999.0,-101
-101.0,-101
-1.0,-101
-1.0,-101
-101.0,-101
-1.0,-101
-1.0,-101
-101.0,-101
-101.0,-101
-1.0,-101
-101.0,-101
-1.0,-101
-1.0,-101
-1.0,-101
-1.0,-101
-101.0,-126
-101.0,-101
-101.0,-101
-1.0,-101
-101.0,-101
-1.0,-101
999.0,-101
,-101
,-101
