Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,1,1,0
0,7,1,0,2,1,-1
0,7,2,0,2,0,-1
0,7,3,0,1,0,-1
0,7,4,0,2,0,-1
0,7,5,0,3,0,-1
0,7,6,0,2,0,-1
0,7,7,0,1,0,-1
3,6,7,0,1,1,-1
3,5,7,0,1,0,-1
0,5,8,0,1,1,-1
3,4,8,0,1,0,-1
0,4,9,0,2,0,-1
3,3,9,0,1,0,-1
3,2,9,0,0,0,-1
3,1,9,0,0,1,-1
1,2,9,0,0,0,-1
0,2,10,0,1,0,-1
0,2,11,0,1,1,-1
2,2,10,0,1,0,-1
1,3,10,1,1,1,-1
2,3,9,1,0,2,-1
1,4,9,1,1,2,-1
0,4,10,1,1,4,-1
1,5,10,1,1,6,-1
2,5,9,1,2,6,-1
0,5,10,1,2,7,-1
0,5,11,1,3,7,-1
1,6,11,1,4,8,-1
0,6,12,1,4,10,-1
0,6,13,1,5,11,-1
1,7,13,1,6,11,-1
0,7,14,1,6,13,999
0,7,14,1,6,13,999
