Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-976.975,0,1,0.0036420822143554688,-1002.0
-930.7118593749999,1,3,0.0062520503997802734,-1004.0
-824.8023833194335,2,8,0.008831977844238281,-1009.0
-930.7118593749999,3,3,0.004302978515625,-1004.0
-714.198850078903,4,14,0.023885011672973633,-1015.0
-824.8023833194335,5,8,0.013856887817382812,-1009.0
-930.7118593749999,6,3,0.0035610198974609375,-1004.0
-844.9255213532653,7,7,0.02727508544921875,-1008.0
-908.4440628906249,8,4,0.005544900894165039,-1005.0
-930.7118593749999,9,3,0.0063970088958740234,-1004.0
-886.7329613183592,10,5,0.00857400894165039,-1006.0
-865.5646372854002,11,6,0.011153936386108398,-1007.0
-953.550625,12,2,0.002871990203857422,-1003.0
-886.7329613183592,13,5,0.005743980407714844,-1006.0
-953.550625,14,2,0.0030891895294189453,-1003.0
-953.550625,15,2,0.0027718544006347656,-1003.0
-714.198850078903,16,14,0.016628026962280273,-1015.0
-865.5646372854002,17,6,0.006736040115356445,-1007.0
-908.4440628906249,18,4,0.004915952682495117,-1005.0
-930.7118593749999,19,3,0.004827976226806641,-1004.0
-908.4440628906249,20,4,0.005031108856201172,-1005.0
-930.7118593749999,21,3,0.0037000179290771484,-1004.0
-976.975,22,1,0.0018379688262939453,-1002.0
-824.8023833194335,23,8,0.006762981414794922,-1009.0
-953.550625,24,2,0.0025649070739746094,-1003.0
