Depth 100,Depth 1000
-101,-101
-101,-101
-126,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-126
-101,-101
-101,-101
-101,-101
-101,-101
-101,-126
-1,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-1,-101
-101,-101
-101,-101
-101,-101
-101,-126
-101,-101
-126,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-1,-101
-101,-101
-101,-101
-101,-101
-101,-101
-1,-101
