Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,4,13,0
1,8,0,1,4,11,-1
1,9,0,1,4,9,-1
1,10,0,0,5,10,-1
3,9,0,1,5,9,-1
3,8,0,1,5,8,-1
1,9,0,1,3,7,-1
1,10,0,1,4,6,-1
1,11,0,1,5,5,-1
1,12,0,1,6,4,-1
0,12,1,1,7,3,-1
1,13,1,1,7,1,-1
0,13,2,1,8,1,-1
0,13,3,1,8,0,-1
0,13,4,1,7,0,-1
0,13,5,1,9,0,-1
0,13,6,1,9,1,-1
0,13,7,1,9,3,-1
0,13,8,1,10,3,-1
0,13,9,1,11,4,-1
0,13,10,1,11,5,-1
0,13,11,1,12,4,-1
0,13,12,1,12,5,-1
3,12,12,1,13,5,-1
3,11,12,1,13,7,-1
3,10,12,1,13,8,-1
0,10,13,1,13,10,-1
3,9,13,1,12,10,-1
3,8,13,1,12,9,-1
2,8,12,1,13,9,-1
0,8,13,1,12,8,-1
0,8,14,1,12,10,-1
3,7,14,1,10,10,999
3,7,14,1,10,10,999
