Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,0,1,0,-1
3,7,0,0,1,1,-1
0,7,1,0,2,1,-1
3,6,1,0,3,1,-1
0,6,2,0,2,1,-1
2,6,1,0,3,1,-1
1,7,1,0,2,1,-1
0,7,2,0,1,1,-1
0,7,3,0,2,1,-1
2,7,2,0,1,1,-1
2,7,1,0,2,1,-1
0,7,2,0,3,1,-1
2,7,1,0,2,1,-1
2,7,0,0,3,1,-1
3,6,0,0,2,1,-1
0,6,1,0,3,1,-1
2,6,0,0,2,1,-1
0,6,1,0,3,1,-1
0,6,2,0,3,0,-1
0,6,3,0,3,1,-1
1,7,3,0,2,1,-1
1,8,3,0,3,1,-1
3,7,3,0,2,1,-1
1,8,3,0,3,1,-1
2,8,2,0,3,0,-1
3,7,2,0,3,1,-1
1,8,2,0,2,1,-1
0,8,3,0,3,1,-1
3,7,3,0,3,0,-1
2,7,2,0,2,0,-1
0,7,3,0,3,0,-1
2,7,2,0,3,1,-1
0,7,3,0,2,1,-1
1,8,3,0,3,1,-1
3,7,3,0,3,0,-1
0,7,4,0,4,0,-1
3,6,4,0,3,0,-1
2,6,3,0,3,1,-1
1,7,3,0,2,1,-1
0,7,4,0,3,1,-1
2,7,3,0,2,1,-1
0,7,4,0,1,1,-1
2,7,3,0,2,1,-1
0,7,4,0,2,0,-1
0,7,5,0,2,1,-1
3,6,5,0,1,1,-1
0,6,6,0,2,1,-1
0,6,7,0,2,0,-1
0,6,8,0,2,1,-1
3,5,8,0,2,0,-1
3,4,8,0,2,1,-1
0,4,9,0,2,0,-1
1,5,9,0,1,0,-1
1,6,9,0,0,0,-1
3,5,9,0,1,0,-1
1,6,9,0,1,1,-1
1,7,9,0,2,1,-1
1,8,9,0,1,1,-1
3,7,9,0,0,1,-1
3,6,9,0,1,1,-1
1,7,9,0,2,1,-1
0,7,10,0,3,1,-1
0,7,11,0,2,1,-1
1,8,11,0,3,1,-1
1,9,11,0,2,1,-1
0,9,12,0,3,1,-1
0,9,13,0,2,1,-1
3,8,13,0,3,1,-1
0,8,14,0,3,0,-1
3,7,14,0,3,1,999
3,7,14,0,3,1,999
