Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,1,5,0
1,8,0,0,0,5,-1
1,9,0,0,0,6,-1
1,10,0,0,1,6,-1
1,11,0,0,1,5,-1
1,12,0,0,0,5,-1
1,13,0,0,1,5,-1
1,14,0,0,1,6,-1
3,13,0,0,1,5,-1
1,14,0,0,0,5,-1
0,14,1,0,0,6,-1
0,14,2,0,1,6,-1
2,14,1,0,1,7,-1
0,14,2,0,1,6,-1
2,14,1,0,1,5,-1
0,14,2,0,1,4,-1
3,13,2,0,0,4,-1
1,14,2,0,0,3,-1
3,13,2,1,0,2,-1
0,13,3,1,1,2,-1
0,13,4,1,2,2,-1
3,12,4,1,1,2,-1
1,13,4,1,3,2,-1
0,13,5,1,4,2,-1
1,14,5,1,5,2,-1
0,14,6,1,6,2,-1
2,14,5,1,7,2,-1
0,14,6,1,9,2,-1
2,14,5,1,10,2,-1
0,14,6,1,11,3,-1
2,14,5,1,12,3,-1
0,14,6,1,12,2,-1
3,13,6,1,11,2,-1
1,14,6,1,11,3,-1
2,14,5,1,12,3,-1
0,14,6,1,12,2,-1
3,13,6,1,13,1,-1
3,12,6,1,13,2,-1
3,11,6,1,13,3,-1
3,10,6,1,12,4,-1
3,9,6,1,10,4,-1
0,9,7,1,10,5,-1
3,8,7,1,9,6,-1
0,8,8,1,8,7,-1
0,8,9,1,8,9,-101
0,8,9,1,8,9,-101
