Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,1,1,-1
1,7,0,0,1,-1
1,8,0,2,1,-1
1,9,0,4,1,-1
1,10,0,5,1,-1
0,10,1,6,1,-1
0,10,2,6,1,-1
0,10,3,7,1,-1
0,10,4,8,1,-1
0,10,5,8,3,-1
0,10,6,8,5,-1
0,10,7,9,5,-1
0,10,8,9,7,-1
0,10,9,10,8,-1
2,10,8,9,9,-1
2,10,7,8,8,-1
2,10,6,9,7,-1
2,10,5,10,8,-1
2,10,4,10,8,-1
2,10,3,10,7,-1
3,9,3,10,8,-1
3,8,3,10,9,-1
2,8,2,10,7,-1
3,7,2,10,5,-1
2,7,1,9,4,-1
2,7,0,10,3,-1
3,6,0,9,3,-1
3,5,0,7,3,-1
3,4,0,6,3,-1
3,3,0,6,4,-1
3,2,0,5,3,-1
0,2,1,4,3,-1
3,1,1,4,3,-1
3,0,1,4,4,-1
1,1,1,3,3,-1
2,1,0,3,2,-1
3,0,0,3,3,-1
1,1,0,2,3,-1
3,0,0,1,2,-1
1,1,0,1,0,-1001
1,1,0,1,0,-1001
