Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,10,10,0
3,6,0,0,9,10,-1
3,5,0,0,10,10,-1
0,5,1,0,10,11,-1
1,6,1,0,9,11,-1
3,5,1,0,10,11,-1
0,5,2,0,11,11,-1
0,5,3,0,10,11,-1
2,5,2,0,10,10,-1
0,5,3,0,9,10,-1
3,4,3,0,10,10,-1
1,5,3,0,10,9,-1
0,5,4,0,11,9,-1
1,6,4,1,10,9,-1
3,5,4,0,11,8,-1
3,4,4,0,10,7,-1
3,3,4,0,9,7,-1
1,4,4,0,8,7,-1
1,5,4,0,8,6,-1
3,4,4,1,8,5,-1
0,4,5,0,7,5,-1
0,4,6,0,7,4,-1
0,4,7,0,6,4,-1
1,5,7,0,5,4,-1
1,6,7,0,4,4,-1
1,7,7,0,3,4,-1
3,6,7,0,4,4,-1
1,7,7,0,3,4,-1
0,7,8,0,3,5,-1
0,7,9,0,3,4,-1
0,7,10,0,4,4,-1
0,7,11,0,4,3,-1
3,6,11,0,3,3,-1
0,6,12,0,3,5,-1
0,6,13,1,4,5,-1
2,6,12,1,4,7,-1
0,6,13,0,4,9,-1
2,6,12,1,4,10,-1
0,6,13,1,5,10,-1
3,5,13,1,6,11,-1
1,6,13,1,6,13,-101
1,6,13,1,6,13,-101
