Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,1,0,-1
1,7,0,2,0,-1
1,8,0,1,0,-1
1,9,0,1,1,-1
3,8,0,0,1,-1
1,9,0,0,2,-1
1,10,0,1,2,-1
0,10,1,0,2,-1
2,10,0,0,1,-1
3,9,0,0,0,-1
1,10,0,1,0,-1
3,9,0,1,1,-1
1,10,0,1,2,-1
0,10,1,0,2,-1
2,10,0,0,1,-1
3,9,0,0,2,-1
3,8,0,0,3,-1
0,8,1,0,2,-1
2,8,0,0,1,-1
1,9,0,0,2,-1
1,10,0,0,3,-1
0,10,1,1,3,-1
3,9,1,2,3,-1
3,8,1,1,3,-1
2,8,0,0,3,-1
3,7,0,0,4,-1
1,8,0,0,5,-1
1,9,0,0,4,-1
1,10,0,0,3,-1
3,9,0,1,3,-1
3,8,0,2,3,-1
3,7,0,1,3,-1
1,8,0,2,3,-1
0,8,1,3,3,-1
1,9,1,3,4,-1
2,9,0,3,5,-1
0,9,1,3,6,-1
1,10,1,3,7,-1
3,9,1,3,8,-1
3,8,1,4,8,-1
1,9,1,5,8,-1
1,10,1,6,8,-1
3,9,1,7,8,-1
3,8,1,7,7,-1
1,9,1,6,7,-1
2,9,0,5,7,-1
0,9,1,5,6,-1
3,8,1,5,5,-1
2,8,0,5,4,-1
0,8,1,5,3,-1
1,9,1,5,2,-1
1,10,1,5,3,-1
3,9,1,4,3,-1
3,8,1,5,3,-1
2,8,0,4,3,-1
1,9,0,4,4,-1
0,9,1,4,3,-1
1,10,1,5,3,-1
3,9,1,4,3,-1
1,10,1,4,2,-1
2,10,0,4,1,-1
0,10,1,4,0,-1
0,10,2,4,1,-1
2,10,1,5,1,-1
3,9,1,5,0,-1
2,9,0,6,1,-1
3,8,0,6,0,-1
1,9,0,7,0,-1
0,9,1,8,0,-1
1,10,1,9,0,-1
0,10,2,10,1,-1
0,10,3,10,3,-1001
0,10,3,10,3,-1001
