Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,11,3,0
0,7,1,0,10,3,-1
3,6,1,0,10,2,-1
3,5,1,0,10,3,-1
3,4,1,0,11,3,-1
2,4,0,0,10,3,-1
0,4,1,0,11,3,-1
0,4,2,0,10,3,-1
1,5,2,0,10,2,-1
3,4,2,0,10,3,-1
1,5,2,0,10,2,-1
2,5,1,0,10,3,-1
0,5,2,0,11,3,-1
2,5,1,0,10,3,-1
2,5,0,0,11,3,-1
0,5,1,0,10,3,-1
2,5,0,0,10,2,-1
1,6,0,0,10,3,-1
3,5,0,0,10,2,-1
0,5,1,0,10,3,-1
1,6,1,0,10,2,-1
3,5,1,0,10,3,-1
3,4,1,0,11,3,-1
3,3,1,0,10,3,-1
2,3,0,0,11,3,-1
1,4,0,0,10,3,-1
1,5,0,0,11,3,-1
1,6,0,0,10,3,-1
1,7,0,0,11,3,-1
3,6,0,0,11,2,-1
1,7,0,0,10,2,-1
0,7,1,0,10,3,-1
0,7,2,0,10,2,-1
1,8,2,0,10,3,-1
3,7,2,0,10,2,-1
0,7,3,0,10,3,-1
0,7,4,0,10,2,-1
0,7,5,1,10,3,-1
2,7,4,0,10,2,-1
0,7,5,1,10,3,-1
2,7,4,0,10,2,-1
0,7,5,1,10,3,-1
2,7,4,0,10,2,-1
0,7,5,1,10,3,-1
2,7,4,0,10,2,-1
0,7,5,1,10,3,-1
2,7,4,0,10,2,-1
0,7,5,1,10,3,-1
2,7,4,0,10,2,-1
0,7,5,1,11,2,-1
2,7,4,0,10,2,-1
0,7,5,1,10,3,-1
2,7,4,0,10,2,-1
0,7,5,1,10,3,-1
2,7,4,0,11,2,-1
0,7,5,0,10,2,-1
3,6,5,0,11,2,-1
1,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,0,10,2,-1
3,7,5,1,10,3,-1
1,8,5,1,11,2,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,11,2,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,1,10,3,-1
3,7,5,0,11,3,-1
1,8,5,1,11,2,-1
3,7,5,0,10,2,-1
1,8,5,1,11,2,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,0,10,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,1,10,3,-1
3,7,5,1,11,2,-1
1,8,5,0,12,3,-1
3,7,5,0,11,3,-1
0,7,6,1,10,3,-1
2,7,5,1,11,2,-1
0,7,6,1,10,3,-1
2,7,5,1,11,2,-1
0,7,6,0,12,2,-1
2,7,5,1,11,2,-1
0,7,6,0,12,3,-1
2,7,5,0,12,4,-1
1,8,5,1,12,5,-1
0,8,6,1,11,5,-1
0,8,7,1,10,5,-1
3,7,7,1,8,5,-1
0,7,8,1,8,6,-1
0,7,9,1,8,5,-1
0,7,10,1,8,7,-1
0,7,11,1,8,9,-1
0,7,12,1,8,11,-1
0,7,13,1,7,12,-1
0,7,14,1,7,13,999
0,7,14,1,7,13,999
