Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,1,0
3,6,0,1,12,0,-1
3,5,0,1,10,0,-1
3,4,0,1,10,1,-1
3,3,0,1,11,0,-1
3,2,0,1,10,0,-1
3,1,0,1,8,0,-1
3,0,0,1,6,0,-1
0,0,1,0,6,1,-1
1,1,1,1,6,0,-1
0,1,2,1,5,0,-1
0,1,3,0,6,0,-1
0,1,4,1,5,0,-1
0,1,5,1,4,0,-1
0,1,6,1,4,1,-1
0,1,7,1,4,3,-1
3,0,7,1,3,3,-1
0,0,8,1,4,4,-1
0,0,9,1,4,5,-1
0,0,10,1,4,6,-1
1,1,10,0,5,6,-1
1,2,10,0,5,5,-1
1,3,10,0,5,6,-1
1,4,10,1,5,10,-1
0,4,11,1,6,10,-1
0,4,12,1,7,10,-1
0,4,13,1,6,10,-1
0,4,14,1,6,12,-1
1,5,14,1,5,13,-1
1,6,14,1,6,13,-1
1,7,14,1,7,13,999
1,7,14,1,7,13,999
