Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
0,5,1,1,0,-1
0,5,2,1,0,-1
0,5,3,2,0,-1
3,4,3,3,0,-1
3,3,3,3,1,-1
3,2,3,4,1,-1
3,1,3,5,1,-1
0,1,4,5,0,-1
3,0,4,5,1,-1
0,0,5,5,2,-1
0,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,5,1,-1
2,0,5,5,2,-1
2,0,4,5,1,-1
0,0,5,5,2,-1
0,0,6,5,1,-1
2,0,5,6,1,-1
2,0,4,6,0,-1
0,0,5,6,1,-1
2,0,4,5,1,-1
0,0,5,6,1,-1
0,0,6,6,2,-1
2,0,5,5,2,-1
0,0,6,5,3,-1
0,0,7,4,3,-1
2,0,6,5,3,-1
2,0,5,5,2,-1
2,0,4,5,1,-1
0,0,5,5,2,-1
0,0,6,5,1,-1
0,0,7,6,1,-1
2,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,5,1,-1
2,0,5,5,2,-1
2,0,4,5,1,-1
2,0,3,5,2,-1
0,0,4,5,1,-1
1,1,4,5,2,-1
3,0,4,5,1,-1
0,0,5,5,2,-1
2,0,4,5,1,-1
0,0,5,5,2,-1
2,0,4,5,1,-1
0,0,5,5,2,-1
0,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,5,1,-1
2,0,5,5,2,-1
0,0,6,6,2,-1
0,0,7,6,1,-1
2,0,6,5,1,-1
2,0,5,5,2,-1
0,0,6,5,1,-1
2,0,5,5,2,-1
0,0,6,5,1,-1
2,0,5,5,2,-1
0,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,5,1,-1
2,0,5,5,2,-1
2,0,4,6,2,-1
0,0,5,5,2,-1
0,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,5,1,-1
2,0,5,5,2,-1
0,0,6,5,1,-1
2,0,5,5,2,-1
0,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,6,2,-1
0,0,7,6,1,-1
2,0,6,6,0,-1
2,0,5,6,1,-1
2,0,4,5,1,-1
2,0,3,5,2,-1
0,0,4,5,1,-1
0,0,5,5,2,-1
2,0,4,5,3,-1
0,0,5,5,2,-1
0,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,5,1,-1
0,0,7,5,2,-1
2,0,6,6,2,-1
0,0,7,5,2,-1
0,0,8,4,3,-1
1,1,8,4,5,-1
1,2,8,3,6,-1
0,2,9,2,6,-1
1,3,9,2,6,-1
1,4,9,3,7,-1
1,5,9,3,8,-1
0,5,10,3,9,999
0,5,10,3,9,999
