Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
0,5,1,2,0,-1
0,5,2,4,0,-1
1,6,2,5,0,-1
0,6,3,5,2,-1
1,7,3,6,2,-1
0,7,4,6,3,-1
1,8,4,7,4,-1
3,7,4,6,3,-1
1,8,4,4,3,-1
1,9,4,5,3,-1
1,10,4,7,3,-1
0,10,5,7,4,-1
0,10,6,8,4,-1
3,9,6,7,5,-1
1,10,6,6,5,-1
0,10,7,7,5,-1
0,10,8,8,5,-1
2,10,7,7,5,-1
0,10,8,8,5,-1
0,10,9,7,5,-1
0,10,10,7,4,-1
3,9,10,6,4,-1
1,10,10,7,4,-1
3,9,10,8,4,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,8,4,-1
1,10,10,8,5,-1
2,10,9,7,5,-1
0,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,7,4,-1
2,10,9,8,4,-1
2,10,8,8,5,-1
0,10,9,7,5,-1
0,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,8,4,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,6,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
2,10,9,7,5,-1
0,10,10,8,5,-1
2,10,9,7,5,-1
0,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
2,10,9,8,4,-1
0,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,8,5,-1
3,9,10,7,5,-1
1,10,10,7,4,-1
3,9,10,8,4,-1
1,10,10,9,4,-1
2,10,9,10,4,-1
2,10,8,10,5,-1
0,10,9,10,7,-1
0,10,10,10,9,-1
2,10,9,10,7,-1
0,10,10,10,8,-1
3,9,10,10,10,-1
1,10,10,9,10,-1
3,9,10,10,10,-1
1,10,10,9,10,-1
3,9,10,10,10,-1
1,10,10,9,10,-1
3,9,10,10,10,-1
1,10,10,10,8,-1
3,9,10,10,9,-1
1,10,10,10,10,-1001
1,10,10,10,10,-1001
