Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,0,0,-1
1,7,0,1,0,-1
1,8,0,3,0,-1
1,9,0,5,0,-1
1,10,0,6,0,-1
0,10,1,7,0,-1
0,10,2,9,0,-1
0,10,3,9,2,-1
0,10,4,9,2,-1
0,10,5,9,4,-1
0,10,6,10,5,-1
2,10,5,9,5,-1
3,9,5,10,6,-1
2,9,4,10,5,-1
3,8,4,8,5,-1
2,8,3,7,5,-1
1,9,3,8,4,-1
2,9,2,7,4,-1
1,10,2,8,3,-1
2,10,1,9,2,-1
2,10,0,9,0,-1
3,9,0,8,0,-1
0,9,1,8,0,-1
0,9,2,9,1,-1
2,9,1,10,1,-1
2,9,0,9,1,-1
0,9,1,8,0,-1
1,10,1,9,0,-1
0,10,2,9,1,-1
0,10,3,9,3,-1
3,9,3,9,4,-1
2,9,2,9,3,-1
1,10,2,7,3,-1
2,10,1,8,2,-1
0,10,2,10,2,-1001
0,10,2,10,2,-1001
