Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,9,0
1,8,0,1,3,8,-1
1,9,0,1,3,7,-1
1,10,0,1,4,6,-1
1,11,0,1,4,5,-1
1,12,0,1,5,5,-1
1,13,0,1,6,4,-1
1,14,0,1,7,3,-1
0,14,1,1,6,2,-1
0,14,2,1,6,1,-1
0,14,3,1,8,1,-1
0,14,4,1,9,2,-1
0,14,5,1,11,2,-1
0,14,6,1,11,3,-1
0,14,7,1,11,4,-1
0,14,8,1,12,5,-1
0,14,9,1,13,4,-1
0,14,10,1,13,6,-1
0,14,11,1,14,6,-1
3,13,11,1,14,8,-1
3,12,11,1,13,9,-1
0,12,12,1,13,11,-1
0,12,13,1,13,12,-1
3,11,13,1,11,12,-1
0,11,14,1,10,12,-1
3,10,14,1,10,11,-1
3,9,14,1,10,12,-1
3,8,14,1,9,13,-1
3,7,14,1,7,13,999
3,7,14,1,7,13,999
