Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,1,1,-1
0,6,1,2,1,-1
0,6,2,4,1,-1
3,5,2,5,1,-1
0,5,3,5,2,-1
1,6,3,4,3,-1
2,6,2,4,3,-1
1,7,2,4,3,-1
1,8,2,5,3,-1
2,8,1,4,3,-1
1,9,1,3,4,-1
1,10,1,4,4,-1
0,10,2,5,4,-1
3,9,2,6,4,-1
3,8,2,7,3,-1
1,9,2,7,2,-1
2,9,1,5,2,-1
1,10,1,7,2,-1
3,9,1,8,1,-1
3,8,1,10,1,-1
0,8,2,9,1,-1
3,7,2,7,1,-1
0,7,3,7,2,-1
0,7,4,6,2,-1
1,8,4,7,2,-1
0,8,5,7,3,-1
0,8,6,7,4,-1
3,7,6,8,4,-1
0,7,7,7,4,-1
3,6,7,8,4,-1
0,6,8,8,5,-1
1,7,8,8,7,-1
3,6,8,6,7,-1
0,6,9,7,6,-1
0,6,10,7,8,-1
3,5,10,6,9,999
3,5,10,6,9,999
