Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-976.975,0,1,0.0019669532775878906,-1002.0
-886.7329613183592,1,5,0.005923032760620117,-1006.0
-976.975,2,1,0.001990795135498047,-1002.0
-930.7118593749999,3,3,0.003435850143432617,-1004.0
-930.7118593749999,4,3,0.0024940967559814453,-1004.0
-865.5646372854002,5,6,0.004185199737548828,-1007.0
-930.7118593749999,6,3,0.002543926239013672,-1004.0
-908.4440628906249,7,4,0.0031778812408447266,-1005.0
-930.7118593749999,8,3,0.0023539066314697266,-1004.0
-767.4014465019607,9,11,0.007545948028564453,-1012.0
-844.9255213532653,10,7,0.005000114440917969,-1008.0
-865.5646372854002,11,6,0.003882884979248047,-1007.0
-844.9255213532653,12,7,0.004210948944091797,-1008.0
-844.9255213532653,13,7,0.003844022750854492,-1008.0
-767.4014465019607,14,11,0.006494998931884766,-1012.0
-865.5646372854002,15,6,0.0036611557006835938,-1007.0
-886.7329613183592,16,5,0.003194093704223633,-1006.0
-953.550625,17,2,0.0014140605926513672,-1003.0
-664.8875248098508,18,17,0.010263919830322266,-1018.0
-886.7329613183592,19,5,0.0030341148376464844,-1006.0
-749.2164103394115,20,12,0.00683903694152832,-1013.0
-886.7329613183592,21,5,0.003125905990600586,-1006.0
-908.4440628906249,22,4,0.002604961395263672,-1005.0
-953.550625,23,2,0.001508951187133789,-1003.0
-844.9255213532653,24,7,0.003957033157348633,-1008.0
