Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,13,0
1,8,0,1,0,11,-1
1,9,0,1,0,9,-1
1,10,0,1,0,10,-1
3,9,0,1,0,9,-1
1,10,0,1,1,8,-1
1,11,0,0,3,8,-1
3,10,0,1,3,7,-1
1,11,0,0,5,7,-1
3,10,0,0,6,7,-1
0,10,1,0,7,7,-1
1,11,1,0,7,6,-1
1,12,1,1,8,4,-1
1,13,1,0,8,3,-1
1,14,1,0,9,2,-1
3,13,1,1,9,3,-1
1,14,1,1,10,3,-1
2,14,0,1,11,2,-1
0,14,1,1,12,2,-1
2,14,0,1,12,1,-1
0,14,1,1,13,0,-1
0,14,2,1,14,1,-1
0,14,3,1,13,2,-1
0,14,4,1,13,3,-1
0,14,5,1,14,4,-1
0,14,6,1,14,5,-1
3,13,6,1,13,4,-1
0,13,7,1,12,3,-1
0,13,8,1,12,5,-1
0,13,9,1,12,6,-1
0,13,10,1,13,7,-1
0,13,11,1,13,8,-1
3,12,11,1,13,9,-1
3,11,11,1,12,9,-1
3,10,11,1,11,9,-1
0,10,12,1,10,10,-1
0,10,13,1,11,10,-1
0,10,14,1,11,12,-1
3,9,14,1,10,13,-1
3,8,14,1,9,13,-1
3,7,14,1,8,13,999
3,7,14,1,8,13,999
