Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,13,0
1,8,0,1,0,12,-1
0,8,1,1,0,11,-1
2,8,0,1,0,9,-1
1,9,0,1,1,8,-1
1,10,0,1,2,8,-1
1,11,0,0,2,9,-1
0,11,1,0,3,9,-1
1,12,1,0,3,8,-1
0,12,2,0,4,8,-1
3,11,2,0,5,8,-1
0,11,3,0,5,9,-1
3,10,3,0,5,8,-1
1,11,3,0,6,8,-1
1,12,3,0,7,7,-1
0,12,4,1,8,7,-1
2,12,3,0,8,6,-1
2,12,2,0,8,5,-1
0,12,3,0,8,4,-1
3,11,3,1,8,3,-1
1,12,3,1,9,3,-1
1,13,3,1,11,3,-1
0,13,4,1,13,3,-1
0,13,5,1,14,4,-1
3,12,5,1,13,3,-1
0,12,6,1,13,5,-1
3,11,6,1,14,6,-1
3,10,6,1,13,6,-1
3,9,6,1,12,6,-1
0,9,7,1,10,6,-1
3,8,7,1,10,7,-1
3,7,7,1,8,7,-1
0,7,8,1,7,7,-1
0,7,9,1,7,8,-1
0,7,10,1,8,9,-1
0,7,11,1,8,10,-1
3,6,11,1,9,9,-1
0,6,12,1,8,10,-1
0,6,13,1,7,10,-1
3,5,13,1,7,11,-1
0,5,14,1,6,11,-1
1,6,14,1,6,12,-1
1,7,14,1,6,13,999
1,7,14,1,6,13,999
