Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,1,0,-1
3,5,0,0,0,-1
1,6,0,0,1,-1
3,5,0,0,0,-1
1,6,0,1,0,-1
0,6,1,1,1,-1
1,7,1,1,2,-1
2,7,0,1,1,-1
3,6,0,1,0,-1
1,7,0,1,1,-1
1,8,0,0,1,-1
3,7,0,0,2,-1
1,8,0,0,1,-1
3,7,0,0,2,-1
1,8,0,0,3,-1
3,7,0,0,2,-1
1,8,0,0,3,-1
1,9,0,0,4,-1
1,10,0,0,4,-1
3,9,0,2,4,-1
3,8,0,3,4,-1
0,8,1,5,4,-1
1,9,1,6,3,-1
1,10,1,8,3,-1
0,10,2,9,2,-1
3,9,2,8,1,-1
1,10,2,6,1,-1
0,10,3,7,1,-1
0,10,4,8,2,-1
2,10,3,10,2,-1
2,10,2,9,2,-1
3,9,2,8,2,-1
3,8,2,7,1,-1
0,8,3,7,2,-1
0,8,4,7,3,-1
1,9,4,9,3,-1
1,10,4,9,2,-1
3,9,4,9,4,-1001
3,9,4,9,4,-1001
