Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,14,0
3,6,0,0,12,13,-1
0,6,1,0,12,14,-1
2,6,0,0,12,13,-1
0,6,1,1,11,13,-1
1,7,1,0,11,12,-1
1,8,1,0,11,11,-1
3,7,1,1,10,11,-1
1,8,1,0,10,10,-1
2,8,0,0,10,11,-1
0,8,1,0,11,11,-1
3,7,1,0,12,11,-1
3,6,1,0,12,10,-1
2,6,0,0,13,10,-1
3,5,0,0,13,11,-1
3,4,0,0,14,11,-1
1,5,0,0,13,11,-1
1,6,0,0,13,12,-1
0,6,1,0,13,11,-1
2,6,0,0,13,12,-1
1,7,0,0,14,12,-1
3,6,0,0,14,11,-1
3,5,0,0,14,12,-1
1,6,0,0,13,12,-1
3,5,0,0,12,12,-1
3,4,0,0,12,11,-1
3,3,0,0,12,12,-1
1,4,0,0,13,12,-1
1,5,0,0,13,13,-1
0,5,1,0,12,13,-1
2,5,0,0,13,13,-1
3,4,0,0,12,13,-1
3,3,0,0,13,12,-1
0,3,1,0,13,11,-1
3,2,1,0,12,11,-1
0,2,2,1,11,11,-1
2,2,1,1,10,12,-1
3,1,1,1,10,11,-1
2,1,0,1,10,10,-1
3,0,0,1,9,10,-1
0,0,1,1,8,10,-1
2,0,0,1,8,9,-1
1,1,0,1,8,8,-1
3,0,0,1,7,8,-1
0,0,1,1,6,7,-1
2,0,0,1,6,6,-1
0,0,1,1,5,6,-1
2,0,0,1,5,5,-1
0,0,1,1,4,5,-1
2,0,0,1,5,4,-1
1,1,0,1,4,3,-1
3,0,0,1,3,3,-1
0,0,1,1,1,3,-1
2,0,0,1,1,2,-1
1,1,0,1,1,0,-101
1,1,0,1,1,0,-101
