Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
3,4,0,0,1,-1
0,4,1,0,0,-1
1,5,1,0,1,-1
2,5,0,0,0,-1
1,6,0,0,1,-1
0,6,1,0,0,-1
3,5,1,1,0,-1
3,4,1,1,1,-1
1,5,1,0,1,-1
1,6,1,0,0,-1
2,6,0,0,1,-1
3,5,0,0,0,-1
1,6,0,0,1,-1
1,7,0,0,0,-1
3,6,0,1,0,-1
1,7,0,2,0,-1
1,8,0,1,0,-1
3,7,0,2,0,-1
1,8,0,1,0,-1
1,9,0,0,0,-1
1,10,0,1,0,-1
0,10,1,0,0,-1
0,10,2,0,1,-1
0,10,3,0,0,-1
3,9,3,1,0,-1
2,9,2,1,1,-1
0,9,3,1,0,-1
2,9,2,1,1,-1
3,8,2,2,1,-1
3,7,2,2,0,-1
0,7,3,2,1,-1
2,7,2,2,0,-1
1,8,2,1,0,-1
1,9,2,2,0,-1
0,9,3,2,1,-1
3,8,3,1,1,-1
3,7,3,2,1,-1
2,7,2,2,2,-1
1,8,2,3,2,-1
1,9,2,2,2,-1
3,8,2,3,2,-1
1,9,2,4,2,-1
2,9,1,3,2,-1
0,9,2,4,2,-1
1,10,2,3,2,-1
0,10,3,2,2,-1
3,9,3,3,2,-1
1,10,3,4,2,-1
2,10,2,3,2,-1
2,10,1,2,2,-1
0,10,2,2,1,-1
0,10,3,1,1,-1
0,10,4,1,0,-1
0,10,5,1,1,-1
3,9,5,2,2,-1
0,9,6,3,2,-1
2,9,5,2,1,-1
0,9,6,2,2,-1
1,10,6,3,2,-1
3,9,6,4,2,-1
1,10,6,4,1,-1
0,10,7,5,1,-1
2,10,6,6,1,-1
2,10,5,5,1,-1
0,10,6,6,1,-1
3,9,6,5,1,-1
1,10,6,6,1,-1
0,10,7,4,1,-1
0,10,8,5,1,-1
0,10,9,6,1,-1
2,10,8,5,1,-1
0,10,9,6,1,-1
0,10,10,5,1,-1
3,9,10,6,1,-1
3,8,10,5,1,-1
3,7,10,6,1,-1
3,6,10,5,1,-1
3,5,10,6,1,999
3,5,10,6,1,999
