Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,1,0
1,8,0,1,2,0,-1
1,9,0,1,3,0,-1
1,10,0,1,4,0,-1
1,11,0,1,5,0,-1
1,12,0,1,7,0,-1
1,13,0,1,8,0,-1
0,13,1,1,10,0,-1
0,13,2,1,11,0,-1
0,13,3,1,10,0,-1
0,13,4,1,11,1,-1
3,12,4,1,11,2,-1
0,12,5,1,11,3,-1
0,12,6,1,10,4,-1
1,13,6,1,12,4,-1
0,13,7,1,12,6,-1
0,13,8,1,11,6,-1
1,14,8,1,13,6,-1
0,14,9,1,13,8,-1
0,14,10,1,14,9,-1
3,13,10,1,13,8,-1
0,13,11,0,12,7,-1
0,13,12,1,14,8,-1
0,13,13,0,14,9,-1
3,12,13,1,14,10,-1
0,12,14,1,13,11,-1
3,11,14,1,12,12,-1
3,10,14,1,11,12,-1
3,9,14,1,10,12,-1
3,8,14,1,9,12,-1
3,7,14,1,8,13,999
3,7,14,1,8,13,999
