Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
1,6,0,2,0,-1
1,7,0,3,0,-1
0,7,1,5,0,-1
1,8,1,7,0,-1
1,9,1,8,0,-1
1,10,1,8,1,-1
2,10,0,7,0,-1
0,10,1,5,0,-1
2,10,0,6,0,-1
0,10,1,5,0,-1
2,10,0,5,1,-1
0,10,1,6,1,-1
2,10,0,7,1,-1
0,10,1,9,1,-1
3,9,1,8,1,-1
3,8,1,7,1,-1
3,7,1,6,1,-1
3,6,1,5,0,-1
0,6,2,6,1,-1
2,6,1,5,0,-1
0,6,2,5,2,-1
3,5,2,4,1,-1
0,5,3,3,1,-1
0,5,4,3,2,-1
0,5,5,3,3,-1
0,5,6,3,4,-1
0,5,7,3,5,-1
1,6,7,4,5,-1
0,6,8,4,6,-1
0,6,9,4,7,-1
0,6,10,5,7,-1
3,5,10,5,8,999
3,5,10,5,8,999
