X,Y
8,2
8,3
8,2
7,2
7,1
8,1
8,0
1,6
1,5
1,6
3,2
4,2
9,5
5,6
6,6
7,6
8,6
8,7
9,7
9,8
9,9
8,9
8,10
7,10
5,8
4,8
