Depth 100,Depth 1000
-101,-101
999,-101
-101,-101
-101,-101
-101,-101
-101,-101
999,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
999,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,999
-101,-101
-101,-101
-101,-101
-101,999
-101,-101
999,-101
-101,999
-101,-101
-101,999
-101,-101
999,-101
-101,-101
-101,-101
-101,-101
-101,999
-101,-101
-101,999
