Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
0,5,1,0,2,-1
2,5,0,0,1,-1
1,6,0,1,0,-1
1,7,0,1,1,-1
1,8,0,3,1,-1
3,7,0,5,1,-1
1,8,0,6,0,-1
1,9,0,7,0,-1
1,10,0,8,0,-1
0,10,1,6,0,-1
0,10,2,7,0,-1
0,10,3,8,0,-1
3,9,3,9,0,-1
1,10,3,9,1,-1
3,9,3,10,1,-1
3,8,3,10,2,-1
3,7,3,10,3,-1
0,7,4,8,3,-1
0,7,5,8,4,-1
0,7,6,7,5,-1
2,7,5,6,4,-1
0,7,6,7,5,-1
2,7,5,6,4,-1
0,7,6,7,5,-1
2,7,5,6,5,-1
3,6,5,5,5,-1
3,5,5,6,4,-1
0,5,6,5,5,-1
2,5,5,5,6,-1
0,5,6,4,6,-1
3,4,6,3,6,-1
3,3,6,3,6,-1001
3,3,6,3,6,-1001
