Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
0,5,1,2,0,-1
1,6,1,4,0,-1
1,7,1,5,0,-1
0,7,2,5,0,-1
0,7,3,5,1,-1
1,8,3,6,1,-1
1,9,3,7,1,-1
1,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,6,1,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
3,9,3,7,1,-1
1,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
3,9,3,7,1,-1
1,10,3,7,0,-1
2,10,2,7,1,-1
0,10,3,6,1,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,1,-1
0,10,3,7,2,-1
2,10,2,7,3,-1
0,10,3,7,3,-1
0,10,4,7,1,-1
0,10,5,7,2,-1
0,10,6,8,3,-1
3,9,6,8,4,-1
0,9,7,8,5,-1
0,9,8,9,5,-1
3,8,8,9,6,-1
3,7,8,9,7,-1
3,6,8,9,6,-1
2,6,7,9,5,-1
1,7,7,9,6,-1
0,7,8,10,6,-1
3,6,8,9,6,-1
0,6,9,9,7,-1
3,5,9,8,8,-1
0,5,10,7,8,999
0,5,10,7,8,999
