Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,8,0
1,8,0,1,3,6,-1
1,9,0,1,3,5,-1
1,10,0,1,5,5,-1
1,11,0,1,3,5,-1
1,12,0,1,5,5,-1
1,13,0,1,7,5,-1
1,14,0,1,9,5,-1
3,13,0,1,9,4,-1
1,14,0,1,10,3,-1
3,13,0,1,10,4,-1
1,14,0,1,9,3,-1
0,14,1,1,10,3,-1
2,14,0,1,11,3,-1
3,13,0,1,11,2,-1
1,14,0,1,12,2,-1
0,14,1,1,13,2,-1
2,14,0,1,13,0,-1
0,14,1,1,14,0,-1
0,14,2,1,14,1,-1
3,13,2,1,12,1,-1
0,13,3,1,11,1,-1
0,13,4,1,11,2,-1
0,13,5,1,11,3,-1
0,13,6,1,11,4,-1
0,13,7,1,11,3,-1
0,13,8,1,12,4,-1
0,13,9,1,13,4,-1
0,13,10,1,13,6,-1
0,13,11,1,13,7,-1
3,12,11,1,13,9,-1
2,12,10,1,12,10,-101
2,12,10,1,12,10,-101
